run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000129000,0.000127828
2,1,1,0.000114000,0.000113994
3,2,1,0.000107000,0.000106596
4,3,1,0.000115000,0.000114924
5,4,1,0.000106000,0.000106236
6,5,1,0.000117000,0.000117348
7,6,1,0.000111000,0.000110566
8,7,1,0.000108000,0.000106991
9,8,1,0.000117000,0.000116794
10,9,1,0.000110000,0.000109918
11,10,1,0.000106000,0.000106469
12,11,1,0.000112000,0.000111791
13,12,1,0.000121000,0.000120544
14,13,1,0.000105000,0.000104680
15,14,1,0.000120000,0.000119131
16,15,1,0.000117000,0.000117068
17,16,1,0.000109000,0.000108922
18,17,1,0.000109000,0.000108325
19,18,1,0.000104000,0.000103791
20,19,1,0.000111000,0.000110555
