run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.003532000,0.003531475
2,1,1,0.003470000,0.003470473
3,2,1,0.000915000,0.000915090
4,3,1,0.000938000,0.000937834
5,4,1,0.003198000,0.003197448
6,5,1,0.000819000,0.000818862
7,6,1,0.001134000,0.001132682
8,7,1,0.001177000,0.001176532
9,8,1,0.001039000,0.001037910
10,9,1,0.001276000,0.001274738
11,10,1,0.001283000,0.001282461
12,11,1,0.001952000,0.001952309
13,12,1,0.004022000,0.004021626
14,13,1,0.001955000,0.001954924
15,14,1,0.001619000,0.001619159
16,15,1,0.001579000,0.001579017
17,16,1,0.001393000,0.001392719
18,17,1,0.003011000,0.003010809
19,18,1,0.003282000,0.003281337
20,19,1,0.003665000,0.003664789
