run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000738000,0.000737778
2,1,1,0.000719000,0.000719281
3,2,1,0.000631000,0.000631145
4,3,1,0.000750000,0.000749636
5,4,1,0.000643000,0.000642448
6,5,1,0.000597000,0.000596431
7,6,1,0.000655000,0.000654888
8,7,1,0.000601000,0.000600499
9,8,1,0.000711000,0.000709830
10,9,1,0.000732000,0.000731330
11,10,1,0.000716000,0.000715287
12,11,1,0.000659000,0.000659185
13,12,1,0.000693000,0.000692827
14,13,1,0.000812000,0.000811937
15,14,1,0.000629000,0.000629132
16,15,1,0.000742000,0.000741444
17,16,1,0.000639000,0.000639257
18,17,1,0.000895000,0.000893954
19,18,1,0.000598000,0.000597866
20,19,1,0.000648000,0.000647975
