run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000989000,0.000988678
2,1,1,0.000899000,0.000898538
3,2,1,0.000352000,0.000351822
4,3,1,0.000183000,0.000182962
5,4,1,0.001052000,0.001051271
6,5,1,0.000836000,0.000835966
7,6,1,0.000560000,0.000581691
8,7,1,0.000227000,0.000226482
9,8,1,0.002101000,0.002100912
10,9,1,0.001214000,0.001212852
11,10,1,0.000902000,0.000904851
12,11,1,0.001255000,0.001254281
13,12,1,0.001085000,0.001085603
14,13,1,0.000477000,0.000476793
15,14,1,0.001571000,0.001570727
16,15,1,0.000332000,0.000331863
17,16,1,0.000394000,0.000393896
18,17,1,0.000476000,0.000475328
19,18,1,0.000247000,0.000246627
20,19,1,0.000370000,0.000369804
