name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM100b.col,100,1050,121,7000,80501,OPTIMAL,71,1.49384,57.5927,59.0866,97.95312,60415.0,3410.0,0.0,299.0,194049000.0,1084380.0,1102730.0,36542400.0,8260000.0,1984010.0,19.0,107223.0,0.0,420.0,122123.0,839.0,8020.0,701619.0,25.0,161098.0,100.0,28.0,68.0,11244200.0,24.0
c21_7_d1.col,21,105,8,126,757,OPTIMAL,7,0.00100979,0.00182348,0.00283327,45.52344,3.0,52.0,0.0,,2453.0,206.0,231.0,930.0,10.0,261.0,2.0,34.0,0.0,,52.0,,102.0,,,36.0,,,,146.0,
GEOM100a.col,100,992,91,6500,70981,OPTIMAL,66,0.591759,246.933,247.524,123.46875,147827.0,6968.0,0.0,833.0,642290000.0,2824380.0,2866380.0,114421000.0,25763800.0,4742740.0,,270015.0,0.0,1658.0,310028.0,546.0,4163.0,2047360.0,30.0,368340.0,148.0,28.0,48.0,32095400.0,38.0
c21_2_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00196248,0.00282544,0.00478793,45.47656,3.0,3.0,0.0,,5163.0,183.0,189.0,1282.0,36.0,212.0,2.0,59.0,0.0,,3.0,,174.0,,,18.0,,,,449.0,
GEOM120.col,120,773,73,6960,51795,OPTIMAL,59,0.244475,1.65438,1.89886,69.91406,3855.0,279.0,0.0,25.0,7165550.0,55645.0,57057.0,1318970.0,286277.0,110185.0,6.0,5771.0,0.0,17.0,10178.0,299.0,2671.0,20176.0,5.0,10129.0,14.0,7.0,22.0,418083.0,1.0
GEOM60b.col,60,366,63,2400,17041,OPTIMAL,41,0.128783,1.08691,1.21569,59.58984,2797.0,242.0,0.0,101.0,6131760.0,50828.0,52473.0,1237600.0,288312.0,98655.0,10.0,3749.0,0.0,11.0,4894.0,198.0,2361.0,17881.0,19.0,11269.0,14.0,7.0,18.0,310624.0,1.0
GEOM20b.col,20,32,16,240,625,OPTIMAL,13,0.00161408,0.00138786,0.00300194,45.42578,,0.0,0.0,,412.0,6.0,7.0,8.0,0.0,10.0,4.0,,0.0,,,,201.0,,,3.0,,,,0.0,
GEOM30.col,30,50,33,810,2161,OPTIMAL,28,0.00488832,0.0030903,0.00797862,45.42578,6.0,4.0,0.0,,13030.0,175.0,193.0,1459.0,80.0,422.0,,25.0,0.0,,4.0,,389.0,,,60.0,,,,676.0,
c21_6_d1.col,21,105,11,168,1009,OPTIMAL,9,0.00192383,0.00275897,0.0046828,45.23828,3.0,3.0,0.0,,5163.0,183.0,189.0,1282.0,36.0,212.0,2.0,59.0,0.0,,3.0,,174.0,,,18.0,,,,449.0,
c21_4_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00133678,0.00158701,0.00292379,45.42578,3.0,3.0,0.0,,5163.0,183.0,189.0,1282.0,36.0,212.0,2.0,59.0,0.0,,3.0,,174.0,,,18.0,,,,449.0,
