name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
GEOM90b.col,90,860,109,31589,232148,OPTIMAL,69,3.8433,47.9513,51.7945,132.33984,28760.0,8620.0,0.0,587878.0,337002000.0,1307120.0,1325080.0,34296300.0,3240820.0,1564150.0,3.0,497475.0,0.0,2088.0,603254.0,502541.0,11008.0,710713.0,48.0,145391.0,96.0,21.0,157167.0,9900090.0,24.0
c55_1_d1.col,55,362,8,605,3000,OPTIMAL,7,0.00516698,0.00703496,0.0122019,45.83984,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,590.0,0.0,,5.0,,121.0,,,214.0,,,,6184.0,
GEOM50a.col,50,238,61,10655,58901,OPTIMAL,50,0.232956,0.688986,0.921942,71.20312,541.0,629.0,0.0,5900.0,7499950.0,21119.0,21732.0,307922.0,17031.0,29250.0,4.0,9854.0,0.0,6.0,27029.0,50480.0,2000.0,3766.0,,3397.0,6.0,3.0,15367.0,79294.0,
GEOM20a.col,20,37,24,1170,4508,OPTIMAL,20,0.00799861,0.00235531,0.0103539,45.96484,1.0,1.0,0.0,,13644.0,58.0,60.0,242.0,9.0,164.0,4.0,3.0,0.0,,1.0,,485.0,,,32.0,,,,72.0,
GEOM100.col,100,547,64,22544,129080,OPTIMAL,50,0.700722,0.843597,1.54432,94.19141,455.0,339.0,0.0,2.0,7019440.0,16865.0,17295.0,240367.0,19457.0,25573.0,7.0,9942.0,0.0,2.0,31627.0,56136.0,2752.0,2121.0,17.0,3110.0,5.0,3.0,17311.0,62690.0,
GEOM110.col,110,638,64,25204,147499,OPTIMAL,50,0.793191,1.07227,1.86546,101.05078,449.0,392.0,0.0,22622.0,7538670.0,21430.0,21986.0,356902.0,36795.0,33616.0,7.0,11524.0,0.0,,36033.0,62830.0,2726.0,5488.0,17.0,3617.0,6.0,3.0,19416.0,79871.0,
c21_5_d2.col,21,105,8,231,948,OPTIMAL,7,0.00146694,0.00233716,0.00380409,45.48047,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d2.col,21,105,11,357,2086,OPTIMAL,9,0.00268761,0.00298369,0.0056713,46.03125,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
c21_7_d2.col,21,105,8,231,948,OPTIMAL,7,0.0017061,0.00305203,0.00475814,45.54297,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM70a.col,70,459,72,19647,124360,OPTIMAL,61,0.495933,3.1147,3.61063,90.53906,2627.0,1688.0,0.0,69839.0,27357200.0,88551.0,90535.0,1703480.0,135375.0,117896.0,1.0,45150.0,0.0,205.0,89353.0,99259.0,2654.0,32851.0,34.0,12291.0,18.0,7.0,30622.0,458093.0,3.0
c21_4_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00380225,0.00344047,0.00724272,45.41797,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
GEOM110b.col,110,1256,121,44621,359391,OPTIMAL,77,6.60683,988.54,995.147,193.23438,388611.0,93684.0,0.0,2418810.0,4920830000.0,18317000.0,18564700.0,651791000.0,71650000.0,20738900.0,7.0,6007290.0,0.0,46647.0,1346030.0,590596.0,13576.0,11574100.0,89.0,1814310.0,293.0,26.0,184385.0,182756000.0,89.0
GEOM80a.col,80,612,79,24385,162882,OPTIMAL,63,0.934948,6.28193,7.21688,103.34375,4051.0,1553.0,0.0,82005.0,53455400.0,159844.0,162713.0,3208130.0,272552.0,203134.0,1.0,73134.0,0.0,611.0,150497.0,179627.0,4208.0,49906.0,63.0,21467.0,23.0,9.0,55984.0,1048650.0,4.0
GEOM30a.col,30,81,32,2778,12256,OPTIMAL,27,0.0290241,0.00723335,0.0362574,45.54688,1.0,4.0,0.0,,53906.0,156.0,164.0,1063.0,69.0,324.0,4.0,17.0,0.0,,4.0,,839.0,,,55.0,,,,169.0,
GEOM80b.col,80,663,98,23663,161059,OPTIMAL,60,2.50949,7.48092,9.99041,108.40625,5785.0,2191.0,0.0,106178.0,64183200.0,191341.0,194858.0,3929670.0,305816.0,246980.0,8.0,84702.0,0.0,911.0,160704.0,121706.0,9040.0,76741.0,32.0,26712.0,33.0,11.0,37667.0,1158330.0,6.0
GEOM50b.col,50,249,54,7431,39823,OPTIMAL,35,0.300095,0.165613,0.465707,63.16016,145.0,39.0,0.0,,1826740.0,3702.0,3843.0,52895.0,4262.0,8475.0,3.0,429.0,0.0,,39.0,,3410.0,189.0,,985.0,1.0,1.0,,9811.0,
GEOM60a.col,60,339,61,13122,77347,OPTIMAL,50,0.313722,0.663984,0.977706,76.25781,457.0,522.0,0.0,,7101500.0,19712.0,20245.0,286567.0,20397.0,28110.0,2.0,8520.0,0.0,4.0,18109.0,33027.0,1967.0,3381.0,18.0,3343.0,6.0,3.0,9983.0,62710.0,
GEOM70.col,70,267,44,10884,53839,OPTIMAL,38,0.134007,0.053183,0.18719,64.27344,,23.0,0.0,,476223.0,1666.0,1702.0,17020.0,995.0,3404.0,,371.0,0.0,,19.0,,1444.0,39.0,,363.0,1.0,1.0,,4783.0,
GEOM30b.col,30,81,27,2733,11820,OPTIMAL,26,0.0100722,0.00263531,0.0127076,45.85547,,1.0,0.0,,14572.0,43.0,44.0,201.0,6.0,211.0,,,0.0,,1.0,,408.0,,,16.0,,,,26.0,
c21_3_d2.col,21,105,8,231,948,OPTIMAL,7,0.001711,0.0030603,0.0047713,45.67969,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
c21_8_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00265557,0.00266755,0.00532313,45.55469,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
c21_1_d2.col,21,105,8,231,948,OPTIMAL,7,0.00170326,0.00276481,0.00446806,45.55469,15.0,2.0,0.0,,14911.0,427.0,432.0,3995.0,14.0,478.0,2.0,239.0,0.0,,2.0,,113.0,,,77.0,,,,1978.0,
GEOM40a.col,40,146,50,5851,28670,OPTIMAL,37,0.138571,0.0518595,0.190431,59.39844,47.0,39.0,0.0,,567028.0,2177.0,2229.0,22102.0,1609.0,3103.0,10.0,411.0,0.0,,39.0,,1893.0,14.0,,475.0,1.0,1.0,,5038.0,
GEOM40b.col,40,157,40,5145,25594,OPTIMAL,33,0.0735406,0.0274013,0.100942,57.63672,,31.0,0.0,,308536.0,916.0,953.0,7624.0,339.0,1988.0,,142.0,0.0,,31.0,,1544.0,,,253.0,,,,1442.0,
c21_2_d1.col,21,105,11,357,2086,OPTIMAL,9,0.00316521,0.00241931,0.00558452,45.55469,1.0,4.0,0.0,,20043.0,251.0,259.0,2076.0,109.0,297.0,2.0,50.0,0.0,,4.0,,265.0,,,49.0,,,,657.0,
GEOM110a.col,110,1207,109,39403,314075,OPTIMAL,69,5.16263,133.496,138.658,152.94922,105714.0,20904.0,0.0,1513690.0,847086000.0,3373660.0,3433270.0,98512100.0,9691750.0,4585170.0,13.0,1100910.0,0.0,7489.0,1077960.0,739828.0,11291.0,1991000.0,56.0,458678.0,154.0,26.0,230824.0,29755500.0,43.0
GEOM120a.col,120,1434,109,53161,437658,OPTIMAL,82,4.64306,844.371,849.014,228.5625,625195.0,144315.0,0.0,2458410.0,3963440000.0,23790800.0,24144600.0,695802000.0,54653700.0,27103700.0,5.0,9409960.0,0.0,35163.0,1348370.0,684519.0,8405.0,13367000.0,101.0,2838540.0,285.0,23.0,211396.0,227931000.0,87.0
c55_2_d2.col,55,362,8,605,3000,OPTIMAL,7,0.00515902,0.00694361,0.0121026,45.68359,52.0,5.0,0.0,,38896.0,962.0,980.0,11832.0,74.0,1316.0,,590.0,0.0,,5.0,,121.0,,,214.0,,,,6184.0,
GEOM20.col,20,20,24,1017,3361,OPTIMAL,21,0.00480686,0.00168586,0.00649273,46.04688,,0.0,0.0,,4693.0,17.0,18.0,53.0,4.0,231.0,2.0,,0.0,,,,298.0,,,10.0,,,,17.0,
