name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM90.col,90,441,54,12150,81463,OPTIMAL,46,0.0280496,0.0930182,0.121068,68.66406,9.0,79.0,0.0,,1400140.0,4165.0,4321.0,49062.0,,2641.0,25806.0,10.0,,1024.0,0.0,77.0,,6126.0,230.0,,,975.0,1.0,,1.0,12122.0,
GEOM80.col,80,349,54,10800,68475,OPTIMAL,41,0.0236499,0.0392277,0.0628776,45.47266,4.0,14.0,0.0,,860447.0,1634.0,1677.0,21087.0,,1690.0,23910.0,65.0,,276.0,0.0,14.0,,14536.0,18.0,,,317.0,,,,5002.0,
GEOM90a.col,90,789,80,18720,192224,OPTIMAL,63,0.0676411,9.70056,9.7682,98.16016,4060.0,3552.0,0.0,307403.0,91908700.0,372187.0,378167.0,8742560.0,9650.0,981174.0,503442.0,37.0,124187.0,144636.0,0.0,165557.0,727.0,28162.0,185648.0,2157.0,28316.0,45129.0,43.0,62.0,19.0,2242000.0,4.0
c21_6_d2.col,21,105,11,441,2946,OPTIMAL,9,0.00142807,0.00184986,0.00327793,45.28906,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
GEOM90b.col,90,860,109,26460,285437,OPTIMAL,69,0.10574,36.069,36.1747,120.13281,48426.0,16031.0,0.0,1091800.0,451065000.0,1904800.0,1936530.0,54828400.0,23534.0,5126430.0,2716700.0,340.0,309265.0,729444.0,0.0,514880.0,1799.0,188876.0,1043390.0,6067.0,76922.0,233504.0,133.0,471.0,76.0,17980200.0,15.0
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.0021464,0.00657465,0.00872105,45.53906,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,,404.0,0.0,9.0,,298.0,,,,210.0,,,,6317.0,
GEOM50a.col,50,238,61,7800,53420,OPTIMAL,50,0.021837,0.44502,0.466857,66.16797,426.0,501.0,0.0,9340.0,6004360.0,20771.0,21298.0,315106.0,,20521.0,42873.0,42.0,14332.0,8899.0,0.0,10395.0,55.0,7395.0,3671.0,305.0,3824.0,3296.0,7.0,,4.0,85916.0,
GEOM20a.col,20,37,24,1073,4242,OPTIMAL,20,0.00194206,0.00260709,0.00454915,45.41406,2.0,3.0,0.0,,14855.0,78.0,82.0,369.0,,6.0,549.0,18.0,,10.0,0.0,3.0,,667.0,,,,25.0,,,,38.0,
GEOM100.col,100,547,64,16900,121817,OPTIMAL,50,0.0401511,0.65506,0.695211,82.38672,272.0,350.0,0.0,,7126710.0,21466.0,22056.0,348060.0,,23728.0,68601.0,90.0,28081.0,12513.0,0.0,23763.0,80.0,26162.0,2672.0,599.0,7845.0,4196.0,6.0,,5.0,106364.0,
GEOM110.col,110,638,64,18590,139042,OPTIMAL,50,0.051734,0.825696,0.87743,83.76953,423.0,358.0,0.0,18761.0,8062700.0,25480.0,26196.0,405869.0,,31160.0,69788.0,90.0,30814.0,13810.0,0.0,27375.0,86.0,28688.0,4614.0,659.0,8638.0,4858.0,11.0,,11.0,110673.0,
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000730511,0.00414857,0.00487908,45.48047,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
c21_8_d2.col,21,105,11,441,2946,OPTIMAL,9,0.000872787,0.00193214,0.00280493,45.48047,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000711759,0.00378689,0.00449865,45.54297,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,,348.0,0.0,,,184.0,,,,121.0,,,,2797.0,
GEOM70a.col,70,459,72,12950,108154,OPTIMAL,61,0.0350181,2.01465,2.04967,79.67969,3891.0,2109.0,0.0,91298.0,27714900.0,110921.0,113611.0,2142380.0,21.0,149335.0,178127.0,13.0,51852.0,51790.0,0.0,63944.0,150.0,9412.0,38973.0,420.0,13769.0,16318.0,22.0,1.0,12.0,638832.0,
c21_4_d1.col,21,105,11,441,2946,OPTIMAL,9,0.00132015,0.00282767,0.00414782,45.73047,,5.0,0.0,,18065.0,236.0,248.0,1700.0,,65.0,392.0,7.0,,58.0,0.0,5.0,,328.0,,,,65.0,,,,454.0,
