name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00153413,0.00192467,0.0034588,45.65234,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
GEOM90b.col,90,860,109,6120,64601,OPTIMAL,69,0.938738,27.3671,28.3059,87.29688,34718.0,3058.0,0.0,208.0,108373000.0,698079.0,711034.0,21338900.0,5071690.0,1370980.0,13.0,692.0,56576.0,0.0,73906.0,253.0,6130.0,422443.0,6.0,114283.0,84.0,24.0,48.0,5973260.0,19.0
c55_1_d1.col,55,362,8,330,2503,OPTIMAL,7,0.00333339,0.00442234,0.00775573,45.52734,8.0,102.0,0.0,,9192.0,496.0,560.0,2669.0,20.0,823.0,,,101.0,0.0,101.0,,199.0,,,145.0,,,,347.0,
GEOM50a.col,50,238,61,2450,14113,OPTIMAL,50,0.0516201,0.190568,0.242188,56.74219,640.0,124.0,0.0,7.0,964023.0,10533.0,10885.0,188555.0,32855.0,35384.0,4.0,14.0,1320.0,0.0,911.0,5.0,1458.0,2212.0,1.0,1910.0,4.0,2.0,2.0,61130.0,
GEOM20a.col,20,37,24,380,1084,OPTIMAL,20,0.00309813,0.00220766,0.00530579,45.46484,,19.0,0.0,,3761.0,51.0,75.0,337.0,65.0,390.0,4.0,,1.0,0.0,19.0,,237.0,,,20.0,,,,2.0,
GEOM100.col,100,547,64,4900,31704,OPTIMAL,50,0.150188,0.282577,0.432764,62.84375,430.0,142.0,0.0,11.0,1334100.0,16332.0,16905.0,270452.0,49666.0,56117.0,7.0,119.0,1447.0,0.0,916.0,5.0,2277.0,2734.0,2.0,3500.0,6.0,4.0,8.0,72333.0,
GEOM110.col,110,638,64,5390,36653,OPTIMAL,50,0.177276,0.3069,0.484175,65.10938,402.0,161.0,0.0,13.0,1376860.0,15221.0,15811.0,258633.0,43312.0,69874.0,7.0,235.0,1682.0,0.0,1092.0,7.0,2568.0,2660.0,,3050.0,6.0,3.0,19.0,73735.0,
c21_5_d2.col,21,105,8,126,757,OPTIMAL,7,0.00102123,0.0023334,0.00335462,46.01953,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
c21_8_d2.col,21,105,11,168,1009,OPTIMAL,9,0.00165375,0.00283706,0.00449081,45.46875,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
c21_7_d2.col,21,105,8,126,757,OPTIMAL,7,0.00104869,0.00228139,0.00333009,46.01953,12.0,62.0,0.0,,4048.0,314.0,343.0,1636.0,18.0,418.0,2.0,,64.0,0.0,62.0,,99.0,,,51.0,,,,315.0,
GEOM70a.col,70,459,72,4200,31741,OPTIMAL,61,0.116807,1.66943,1.78624,64.46875,4934.0,480.0,0.0,47.0,7836750.0,67601.0,69290.0,1324100.0,250216.0,164750.0,,286.0,6887.0,0.0,8105.0,45.0,1648.0,23996.0,1.0,13073.0,16.0,6.0,22.0,365285.0,2.0
c21_4_d1.col,21,105,11,168,1009,OPTIMAL,9,0.0018254,0.00232323,0.00414864,45.95703,,9.0,0.0,,5827.0,210.0,224.0,1863.0,110.0,245.0,2.0,,46.0,0.0,9.0,,153.0,,,26.0,,,,296.0,
GEOM110b.col,110,1256,121,8360,103817,OPTIMAL,77,1.67948,189.924,191.604,128.69141,110816.0,6330.0,0.0,288.0,370448000.0,2040700.0,2072040.0,78048900.0,17159000.0,3742540.0,13.0,479.0,243235.0,0.0,255907.0,815.0,7865.0,1414150.0,39.0,272014.0,103.0,25.0,58.0,25335100.0,25.0
GEOM80a.col,80,612,79,4960,42905,OPTIMAL,63,0.225329,1.75077,1.9761,66.75391,2497.0,421.0,0.0,12.0,7951420.0,63648.0,65123.0,1459840.0,339099.0,169388.0,2.0,98.0,5478.0,0.0,6985.0,23.0,2286.0,26620.0,1.0,10869.0,12.0,4.0,6.0,347485.0,2.0
GEOM30a.col,30,81,32,780,2887,OPTIMAL,27,0.00872124,0.0148838,0.0236051,45.47266,2.0,52.0,0.0,,64079.0,1082.0,1180.0,21776.0,3426.0,2438.0,4.0,,106.0,0.0,52.0,,420.0,,,241.0,,,,2025.0,
