name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM90a.col,90,789,80,37129,265860,OPTIMAL,63,0.0803754,9.40695,9.48733,111.54688,5157.0,3468.0,0.0,192534.0,90858000.0,293995.0,299175.0,6301140.0,6270.0,635149.0,425214.0,37.0,130105.0,0.0,643.0,193141.0,235230.0,61632.0,143054.0,2199.0,70098.0,38150.0,37.0,,15.0,1640100.0,4.0
c21_6_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129024,0.00326312,0.00455335,45.41016,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
GEOM90b.col,90,860,109,52158,388229,OPTIMAL,69,0.125337,57.2714,57.3968,133.24609,55746.0,14843.0,0.0,1262740.0,687309000.0,2782560.0,2820990.0,78653900.0,14392.0,8019570.0,3658230.0,113.0,1018890.0,0.0,6389.0,632957.0,553698.0,370743.0,1510280.0,9157.0,168036.0,292257.0,136.0,186.0,58.0,24818700.0,23.0
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00200025,0.00663231,0.00863256,45.60156,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,404.0,0.0,,9.0,,298.0,,,,210.0,,,,6317.0,
GEOM50a.col,50,238,61,13603,76632,OPTIMAL,50,0.0218044,0.465366,0.487171,69.63281,412.0,436.0,0.0,11199.0,6982440.0,18895.0,19384.0,274124.0,,19855.0,48231.0,42.0,7636.0,0.0,1.0,12003.0,25596.0,12654.0,2781.0,,8429.0,3415.0,7.0,,5.0,71679.0,
GEOM20a.col,20,37,24,1596,6334,OPTIMAL,20,0.00163791,0.00196843,0.00360634,45.54297,13.0,3.0,0.0,,23235.0,56.0,60.0,225.0,,5.0,521.0,18.0,5.0,0.0,,2.0,,739.0,,,,23.0,,,,40.0,
GEOM100.col,100,547,64,30742,177185,OPTIMAL,50,0.0516106,0.929159,0.980769,93.94922,490.0,446.0,0.0,24232.0,9431540.0,19569.0,20137.0,298843.0,,23573.0,60945.0,90.0,12552.0,0.0,43.0,30559.0,59903.0,45764.0,3262.0,1626.0,17827.0,3328.0,5.0,,4.0,68507.0,
GEOM110.col,110,638,64,34312,201930,OPTIMAL,50,0.0651683,1.15519,1.22036,97.91797,361.0,441.0,0.0,26047.0,9823110.0,22147.0,22789.0,342327.0,,25022.0,60202.0,90.0,14145.0,0.0,46.0,33597.0,67010.0,50715.0,3663.0,1822.0,19943.0,4030.0,5.0,,4.0,91118.0,
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000705396,0.00398378,0.00468917,46.16016,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
c21_8_d2.col,21,105,11,462,3030,OPTIMAL,9,0.00129229,0.00322606,0.00451835,45.48438,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000776804,0.00442767,0.00520447,45.79688,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,0.0,,,,184.0,,,,121.0,,,,2797.0,
GEOM70a.col,70,459,72,24492,154322,OPTIMAL,61,0.0488483,2.87612,2.92497,86.13281,2710.0,1596.0,0.0,95515.0,32294700.0,114058.0,116170.0,2222220.0,6.0,197268.0,167263.0,13.0,56264.0,0.0,266.0,92090.0,103713.0,17869.0,48144.0,1588.0,31682.0,15583.0,18.0,,7.0,651084.0,3.0
c21_4_d1.col,21,105,11,462,3030,OPTIMAL,9,0.00131806,0.00331247,0.00463054,45.48438,,3.0,0.0,,18011.0,230.0,238.0,1665.0,,91.0,276.0,7.0,42.0,0.0,,3.0,,378.0,,,,59.0,,,,516.0,
GEOM110b.col,110,1256,121,72093,592717,OPTIMAL,77,0.18621,738.904,739.09,204.50391,344711.0,76056.0,0.0,2022210.0,3581700000.0,12948900.0,13130700.0,452392000.0,10377.0,46333100.0,15216400.0,415.0,4755530.0,0.0,34411.0,1344560.0,741545.0,547418.0,7508740.0,1389.0,235491.0,1302740.0,219.0,298.0,53.0,140258000.0,52.0
