name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,7200,71940,OPTIMAL,63,0.0212501,4.77085,4.7921,72.67969,9377.0,943.0,0.0,76.0,23090400.0,162526.0,166358.0,4186410.0,,851309.0,622489.0,,8.0,16797.0,0.0,19365.0,57.0,17442.0,79654.0,2.0,28938.0,23.0,,13.0,2.0,1247960.0,2.0
c21_6_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000632797,0.00325686,0.00388965,45.46875,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
GEOM90b.col,90,860,109,9810,107240,OPTIMAL,69,0.0338796,19.0403,19.0742,87.98828,46842.0,3170.0,0.0,651.0,129094000.0,799338.0,816130.0,24779000.0,448.0,5409060.0,2399250.0,497.0,870.0,58718.0,0.0,112247.0,348.0,82003.0,485866.0,9.0,136611.0,84.0,28.0,57.0,51.0,7104920.0,8.0
c55_1_d1.col,55,362,8,440,3446,OPTIMAL,7,0.00140327,0.00907335,0.0104766,45.46875,,188.0,0.0,,35740.0,1456.0,1561.0,15822.0,,701.0,2029.0,,,125.0,0.0,187.0,,356.0,12.0,,309.0,,,,,1037.0,
GEOM50a.col,50,238,61,3050,18168,OPTIMAL,50,0.00815663,0.228414,0.236571,57.6875,1038.0,172.0,0.0,8.0,1574050.0,18813.0,19513.0,325912.0,,58119.0,89836.0,46.0,14.0,1799.0,0.0,1217.0,7.0,4843.0,3403.0,1.0,3873.0,6.0,,5.0,2.0,97588.0,
GEOM20a.col,20,37,24,480,1468,OPTIMAL,20,0.000680669,0.00218991,0.00287057,45.28125,,20.0,0.0,,5140.0,78.0,99.0,747.0,,63.0,764.0,18.0,,6.0,0.0,20.0,,562.0,,,27.0,,,,,85.0,
GEOM100.col,100,547,64,6400,42908,OPTIMAL,50,0.0146823,0.270677,0.28536,61.71094,1138.0,243.0,0.0,50.0,2338910.0,23017.0,23703.0,382371.0,8.0,66606.0,155392.0,91.0,246.0,2280.0,0.0,2301.0,8.0,13970.0,4243.0,8.0,4987.0,9.0,1.0,7.0,16.0,106806.0,
GEOM110.col,110,638,64,7040,49522,OPTIMAL,50,0.0135942,0.349608,0.363202,64.25391,1314.0,230.0,0.0,38.0,2698400.0,28108.0,29200.0,484750.0,,88279.0,149893.0,91.0,237.0,1827.0,0.0,1164.0,6.0,15211.0,6367.0,2.0,6682.0,10.0,,9.0,18.0,132684.0,
c21_5_d2.col,21,105,8,168,1050,OPTIMAL,7,0.00045113,0.00254969,0.00300082,45.53516,10.0,98.0,0.0,,5480.0,340.0,395.0,1643.0,,19.0,538.0,3.0,,57.0,0.0,95.0,,152.0,,,84.0,,,,,146.0,
c21_8_d2.col,21,105,11,231,1449,OPTIMAL,9,0.000644805,0.00314039,0.00378519,45.47266,,5.0,0.0,,11684.0,366.0,376.0,3829.0,,406.0,567.0,4.0,,82.0,0.0,5.0,,257.0,,,66.0,,,,,643.0,
