name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,weakened,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,strengthened,minimized,vivified,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00290601,0.00330809,0.0062141,45.46484,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
GEOM90b.col,90,860,109,54272,323651,OPTIMAL,69,3.91918,50.1232,54.0423,162.48438,31476.0,930683.0,10232.0,0.0,641060.0,377375000.0,1271330.0,1289880.0,33388600.0,3069260.0,1535000.0,1.0,578958.0,645868.0,0.0,3339.0,980.0,661967.0,136902.0,93.0,20.0,300077.0,9420670.0,24.0
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00336972,0.00401442,0.00738414,45.46484,52.0,,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,5.0,0.0,,110.0,,173.0,,,,5033.0,
GEOM50a.col,50,238,61,13138,69245,OPTIMAL,50,0.218808,0.581425,0.800233,72.73438,322.0,33025.0,537.0,0.0,5863.0,6717950.0,20369.0,20897.0,288821.0,17892.0,26284.0,4.0,8673.0,13312.0,0.0,,452.0,3032.0,3291.0,6.0,3.0,10119.0,73440.0,
GEOM20a.col,20,37,24,1369,5112,OPTIMAL,20,0.00841464,0.00281529,0.0112299,45.89453,,,3.0,0.0,,13224.0,63.0,65.0,288.0,6.0,134.0,4.0,11.0,2.0,0.0,,416.0,,24.0,,,,44.0,
GEOM100.col,100,547,64,29634,158057,OPTIMAL,50,0.647469,0.872426,1.5199,102.98047,696.0,73077.0,393.0,0.0,6971.0,8875460.0,19450.0,19974.0,287683.0,19462.0,34627.0,7.0,13331.0,25556.0,0.0,,427.0,2733.0,3620.0,6.0,3.0,23151.0,79535.0,
GEOM110.col,110,638,64,33760,182314,OPTIMAL,50,0.736872,1.33919,2.07606,107.06641,746.0,168947.0,510.0,0.0,14868.0,11186800.0,21675.0,22224.0,326941.0,24130.0,38706.0,7.0,25702.0,61097.0,0.0,3.0,502.0,3025.0,4055.0,7.0,4.0,53851.0,81710.0,
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00141658,0.00416637,0.00558295,45.53125,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00296533,0.00322157,0.0061869,45.53125,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00167349,0.00605391,0.0077274,45.53125,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,
GEOM70a.col,70,459,72,27650,156881,OPTIMAL,61,0.476473,6.12972,6.60619,99.66406,7048.0,149217.0,2376.0,0.0,179874.0,49240400.0,220717.0,224070.0,4324620.0,309300.0,266056.0,,116867.0,104184.0,0.0,529.0,765.0,81093.0,24654.0,28.0,7.0,47355.0,1489110.0,7.0
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00412293,0.00366089,0.00778382,45.53516,6.0,,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,5.0,0.0,,21.0,,56.0,,,,637.0,
