name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,7200,71941,OPTIMAL,63,0.0209306,4.48214,4.50307,72.54688,11904.0,1213.0,0.0,173.0,28021600.0,206020.0,211062.0,4970460.0,,1012950.0,732892.0,,30.0,15180.0,0.0,27107.0,72.0,17961.0,102133.0,15.0,39781.0,38.0,,27.0,,1319690.0,1.0
c21_6_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000607873,0.00216478,0.00277265,45.46094,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
GEOM90b.col,90,860,109,9810,107241,OPTIMAL,69,0.0311109,24.4912,24.5223,92.19141,64766.0,3810.0,0.0,616.0,181779000.0,1119210.0,1139020.0,37957200.0,458.0,9069170.0,3169370.0,467.0,1034.0,78665.0,0.0,165328.0,478.0,83157.0,743596.0,8.0,178612.0,106.0,32.0,65.0,68.0,10153100.0,8.0
c55_1_d1.col,55,362,8,440,3447,OPTIMAL,7,0.000788128,0.00225279,0.00304092,46.01172,5.0,88.0,0.0,,11384.0,436.0,492.0,2493.0,,23.0,924.0,,,74.0,0.0,87.0,,363.0,,,132.0,,,,,185.0,
GEOM50a.col,50,238,61,3050,18169,OPTIMAL,50,0.00805133,0.20484,0.212891,57.08203,988.0,188.0,0.0,30.0,1781650.0,20753.0,21475.0,358602.0,5.0,62270.0,92029.0,46.0,24.0,2613.0,0.0,1696.0,12.0,5099.0,4023.0,,4224.0,6.0,1.0,3.0,4.0,116201.0,
GEOM20a.col,20,37,24,480,1469,OPTIMAL,20,0.000665691,0.00208212,0.00274782,45.52734,,16.0,0.0,,4016.0,48.0,64.0,379.0,,35.0,551.0,18.0,,5.0,0.0,16.0,,576.0,,,20.0,,,,,55.0,
GEOM100.col,100,547,64,6400,42909,OPTIMAL,50,0.0121566,0.282131,0.294287,62.23828,714.0,237.0,0.0,5.0,1973530.0,21187.0,21882.0,364243.0,,63953.0,148853.0,91.0,117.0,1960.0,0.0,1174.0,6.0,14284.0,4272.0,,4639.0,8.0,,8.0,9.0,100995.0,
GEOM110.col,110,638,64,7040,49523,OPTIMAL,50,0.0141986,0.443222,0.45742,64.93359,1788.0,287.0,0.0,45.0,3206370.0,31797.0,32857.0,536684.0,44.0,95201.0,167345.0,91.0,564.0,3015.0,0.0,4294.0,19.0,15545.0,8091.0,7.0,6961.0,8.0,5.0,6.0,42.0,152645.0,
c21_5_d2.col,21,105,8,168,1051,OPTIMAL,7,0.00043005,0.00283147,0.00326152,45.52734,35.0,72.0,0.0,,5436.0,395.0,433.0,2115.0,,19.0,587.0,5.0,,67.0,0.0,70.0,,182.0,,,83.0,,,,,370.0,
c21_8_d2.col,21,105,11,231,1450,OPTIMAL,9,0.000406666,0.00250318,0.00290985,45.46484,,4.0,0.0,,6037.0,202.0,205.0,1795.0,,110.0,248.0,7.0,,56.0,0.0,4.0,,314.0,,,14.0,,,,,425.0,
