name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked,substituted
c21_6_d2.col,21,105,11,555,2874,OPTIMAL,9,0.0044851,0.00477552,0.00926062,45.48047,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
GEOM90b.col,90,860,109,53595,320138,OPTIMAL,69,3.7834,54.9186,58.702,160.03516,41323.0,9888.0,0.0,649313.0,413079000.0,1495740.0,1518320.0,39222100.0,3355390.0,1805160.0,2.0,626337.0,0.0,3562.0,546298.0,606343.0,635.0,806895.0,168180.0,100.0,18.0,195308.0,12766500.0,26.0,
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00502987,0.00580741,0.0108373,45.79297,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,0.0,,5.0,,110.0,,173.0,,,,5033.0,,
GEOM50a.col,50,238,61,12886,67800,OPTIMAL,50,0.22382,0.586644,0.810464,73.22266,342.0,509.0,0.0,6353.0,6914210.0,21036.0,21535.0,311849.0,21527.0,26748.0,4.0,8810.0,0.0,,14548.0,32387.0,463.0,2950.0,3233.0,7.0,4.0,9921.0,76876.0,,
GEOM20a.col,20,37,24,1213,4670,OPTIMAL,20,0.00729399,0.00272487,0.0100189,45.60547,,3.0,0.0,,14933.0,66.0,71.0,354.0,17.0,139.0,4.0,8.0,0.0,,3.0,,533.0,,16.0,,,,81.0,,
GEOM100.col,100,547,64,28830,154199,OPTIMAL,50,0.622123,0.744606,1.36673,93.92578,331.0,350.0,0.0,9753.0,6626510.0,16272.0,16643.0,234724.0,18138.0,26538.0,7.0,12237.0,0.0,,29483.0,71768.0,436.0,2125.0,2744.0,4.0,2.0,22648.0,60392.0,,
GEOM110.col,110,638,64,32892,178226,OPTIMAL,50,0.777712,1.33184,2.10955,104.92578,337.0,447.0,0.0,15931.0,10645400.0,27732.0,28392.0,483526.0,43835.0,41202.0,7.0,16243.0,0.0,,34908.0,82246.0,396.0,6774.0,4788.0,9.0,5.0,26025.0,97154.0,,
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00110405,0.00396595,0.00507,45.84766,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,0.0,,8.0,,92.0,,144.0,,,,4514.0,,
c21_8_d2.col,21,105,11,555,2874,OPTIMAL,9,0.00292067,0.00308589,0.00600656,45.60938,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00148687,0.00412581,0.00561268,45.48438,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,0.0,,8.0,,92.0,,144.0,,,,4514.0,,
GEOM70a.col,70,459,72,27045,153922,OPTIMAL,61,0.46944,5.43739,5.90683,97.48047,5350.0,2695.0,0.0,134065.0,45873200.0,190845.0,194183.0,3686450.0,269284.0,228313.0,,105938.0,0.0,403.0,104350.0,145747.0,540.0,65147.0,21290.0,25.0,6.0,46116.0,1104590.0,6.0,
c21_4_d1.col,21,105,11,555,2874,OPTIMAL,9,0.00451019,0.00467844,0.00918863,45.48438,6.0,5.0,0.0,,31911.0,331.0,339.0,2493.0,180.0,382.0,2.0,70.0,0.0,,5.0,,21.0,,56.0,,,,637.0,,
GEOM110b.col,110,1256,121,83691,515633,OPTIMAL,77,6.76107,628.313,635.074,225.69531,346003.0,68018.0,0.0,1243520.0,3410000000.0,12079200.0,12257800.0,423037000.0,42186200.0,13882400.0,4.0,4671470.0,0.0,31670.0,1338280.0,1443200.0,811.0,6829660.0,1277480.0,219.0,24.0,467535.0,136288000.0,64.0,
GEOM80a.col,80,612,79,35771,208395,OPTIMAL,63,0.922683,8.76174,9.68442,117.11328,5966.0,2334.0,0.0,165069.0,71001600.0,248986.0,252843.0,5657270.0,584755.0,308139.0,3.0,113106.0,0.0,561.0,122761.0,193350.0,733.0,120467.0,27588.0,27.0,7.0,62081.0,1563730.0,6.0,
GEOM30a.col,30,81,32,3031,13255,OPTIMAL,27,0.0233463,0.00566301,0.0290094,45.48438,3.0,6.0,0.0,,45794.0,140.0,149.0,1459.0,103.0,360.0,5.0,15.0,0.0,,6.0,,327.0,,52.0,,,,201.0,,
GEOM80b.col,80,663,98,37786,217521,OPTIMAL,60,2.48755,8.77054,11.2581,123.17188,5754.0,1541.0,0.0,155744.0,79554500.0,206732.0,210259.0,4463400.0,383849.0,264182.0,3.0,131401.0,0.0,354.0,195204.0,312175.0,598.0,80220.0,26705.0,29.0,10.0,100518.0,1484540.0,5.0,
GEOM50b.col,50,249,54,9898,49674,OPTIMAL,35,0.294711,0.183,0.47771,66.74609,55.0,62.0,0.0,,2140800.0,3530.0,3653.0,55666.0,5927.0,7102.0,3.0,319.0,0.0,,61.0,,1230.0,135.0,937.0,1.0,1.0,,7672.0,,
GEOM60a.col,60,339,61,17126,93338,OPTIMAL,50,0.296018,0.914475,1.21049,80.86328,497.0,530.0,0.0,16237.0,9188860.0,21793.0,22415.0,329780.0,21010.0,32116.0,1.0,17028.0,0.0,3.0,37754.0,86909.0,522.0,3424.0,3714.0,6.0,3.0,27268.0,83606.0,,
