name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0257929,6.04624,6.07203,98.39844,14764.0,964.0,0.0,208.0,46249800.0,232761.0,238227.0,5799360.0,790.0,1230580.0,493990.0,,18538.0,0.0,130.0,24991.0,70589.0,33857.0,119077.0,725.0,22600.0,44119.0,34.0,6.0,20.0,1487470.0,1.0
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000810783,0.00295522,0.003766,46.0,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0399919,27.7172,27.7572,111.17969,74559.0,4187.0,0.0,934.0,236293000.0,1251800.0,1274500.0,41140800.0,6144.0,9413410.0,2559670.0,467.0,88278.0,0.0,508.0,164922.0,164865.0,161354.0,817562.0,1487.0,52520.0,201192.0,115.0,591.0,85.0,11046000.0,12.0
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00165023,0.00521661,0.00686684,46.0,2.0,101.0,0.0,,34587.0,756.0,809.0,5029.0,,96.0,989.0,,73.0,0.0,,100.0,,565.0,,,,140.0,,,,417.0,
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.00766111,0.283814,0.291476,59.30078,1667.0,122.0,0.0,6.0,4381440.0,20069.0,20762.0,360318.0,93.0,62209.0,52438.0,46.0,1983.0,0.0,12.0,1146.0,14992.0,9501.0,3317.0,,4964.0,4405.0,6.0,43.0,4.0,107063.0,
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.000739179,0.00144478,0.00218396,45.94141,,2.0,0.0,,9477.0,80.0,86.0,562.0,,2.0,163.0,18.0,8.0,0.0,,2.0,,1058.0,,,,35.0,,,,318.0,
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0158749,0.383512,0.399387,66.85156,1390.0,100.0,0.0,9.0,6085100.0,24887.0,25788.0,437888.0,184.0,79391.0,64700.0,91.0,1931.0,0.0,4.0,1141.0,30408.0,26740.0,3223.0,,9980.0,6189.0,8.0,80.0,7.0,113060.0,
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.0262166,0.454425,0.480642,71.46875,2642.0,152.0,0.0,40.0,7341270.0,27734.0,28792.0,435233.0,296.0,74875.0,79013.0,91.0,2078.0,0.0,18.0,2429.0,33807.0,29201.0,4112.0,3.0,11025.0,7028.0,6.0,,4.0,115887.0,
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000388172,0.00160472,0.00199289,45.45312,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000983875,0.00196366,0.00294753,46.00391,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000367432,0.00169862,0.00206605,45.94141,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.0151096,1.12203,1.13714,67.23438,4712.0,387.0,0.0,33.0,13485000.0,68987.0,70958.0,1337320.0,662.0,266866.0,140684.0,,5874.0,0.0,40.0,8599.0,39740.0,12976.0,21816.0,3.0,12997.0,15259.0,16.0,7.0,12.0,329297.0,
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.000808453,0.00258961,0.00339806,46.00781,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0553724,222.584,222.64,137.30859,156712.0,8568.0,0.0,448.0,593225000.0,2849760.0,2893540.0,116353000.0,8017.0,26407200.0,5292030.0,520.0,296149.0,0.0,975.0,359250.0,223631.0,235597.0,2018540.0,2047.0,72075.0,395885.0,131.0,24.0,65.0,35340800.0,23.0
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0202101,2.46815,2.48836,94.03516,5016.0,472.0,0.0,38.0,23648900.0,102263.0,105017.0,2331650.0,319.0,480413.0,197805.0,30.0,9409.0,0.0,48.0,8836.0,46588.0,27265.0,36993.0,483.0,14829.0,20597.0,23.0,,19.0,591490.0,1.0
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00156625,0.00388115,0.00544739,45.45703,2.0,9.0,0.0,,41858.0,362.0,380.0,4446.0,,429.0,688.0,22.0,35.0,0.0,,9.0,,2007.0,,,,149.0,,,,989.0,
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0249372,2.83893,2.86386,94.54688,6865.0,550.0,0.0,78.0,33923000.0,128314.0,131778.0,3123780.0,922.0,673213.0,312538.0,567.0,9453.0,0.0,49.0,14107.0,60327.0,130565.0,49079.0,647.0,19208.0,26911.0,26.0,5.0,23.0,847704.0,1.0
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.0107154,0.0736684,0.0843838,46.07031,249.0,83.0,0.0,,1350730.0,6576.0,6991.0,123849.0,,16272.0,16368.0,191.0,385.0,0.0,,83.0,,24112.0,438.0,,,2226.0,1.0,,1.0,19102.0,
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.012679,0.247642,0.260321,61.48047,505.0,84.0,0.0,5.0,2879200.0,12869.0,13321.0,216000.0,,36227.0,25092.0,25.0,1571.0,0.0,3.0,480.0,8997.0,11066.0,1649.0,,2936.0,2766.0,4.0,,2.0,61842.0,
