name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00215972,0.00241849,0.00457821,45.22266,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,1.10909,20.8596,21.9687,112.91797,28322.0,1908.0,0.0,145.0,99701800.0,489271.0,499260.0,14280500.0,3311210.0,947636.0,13.0,35356.0,0.0,219.0,70480.0,116090.0,7989.0,263395.0,1080.0,86546.0,67.0,22.0,37023.0,3786490.0,14.0
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00412132,0.0053439,0.00946522,45.47266,86.0,79.0,0.0,,26023.0,596.0,642.0,3343.0,60.0,1038.0,,82.0,0.0,,76.0,,243.0,,,114.0,,,,499.0,
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0700153,0.320827,0.390843,59.30078,731.0,125.0,0.0,6.0,3043570.0,17547.0,18181.0,299503.0,52782.0,29618.0,4.0,1690.0,0.0,3.0,589.0,7326.0,1706.0,1595.0,,3866.0,7.0,4.0,2427.0,77956.0,
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00549863,0.00277367,0.00827231,45.47656,,1.0,0.0,,6313.0,59.0,64.0,307.0,11.0,107.0,4.0,5.0,0.0,,1.0,,454.0,,,25.0,,,,132.0,
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.207603,0.517028,0.724631,65.79297,984.0,136.0,0.0,4.0,4924100.0,20609.0,21395.0,324222.0,53550.0,37131.0,7.0,1738.0,0.0,7.0,1006.0,30068.0,2791.0,1540.0,1.0,5109.0,7.0,3.0,9868.0,81917.0,
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.232223,0.624242,0.856466,70.64844,1292.0,127.0,0.0,12.0,5606790.0,24849.0,25634.0,422516.0,77555.0,48034.0,7.0,1972.0,0.0,4.0,1501.0,33247.0,3080.0,3822.0,,5760.0,9.0,6.0,10878.0,103577.0,
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00127754,0.00206032,0.00333786,45.96484,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00256183,0.00335676,0.00591859,45.96484,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00128634,0.00174478,0.00303111,45.60547,18.0,46.0,0.0,,9849.0,290.0,314.0,1372.0,6.0,398.0,2.0,67.0,0.0,,46.0,,162.0,,,52.0,,,,249.0,
GEOM70a.col,70,459,72,8400,44271,OPTIMAL,61,0.152706,1.66922,1.82193,67.78125,4684.0,359.0,0.0,7.0,11320800.0,63497.0,65225.0,1235620.0,231317.0,123529.0,,6436.0,0.0,41.0,6750.0,25633.0,2118.0,18511.0,2.0,12980.0,17.0,8.0,8428.0,323799.0,2.0
c21_4_d1.col,21,105,11,336,1492,OPTIMAL,9,0.00201852,0.00241091,0.00442943,45.35547,4.0,6.0,0.0,,12407.0,207.0,213.0,1580.0,127.0,255.0,2.0,32.0,0.0,,6.0,,247.0,,,37.0,,,,340.0,
GEOM110b.col,110,1256,121,16720,128787,OPTIMAL,77,1.93032,176.895,178.825,146.51172,109033.0,6298.0,0.0,210.0,402129000.0,2093130.0,2126300.0,78885400.0,17546200.0,3663360.0,13.0,239487.0,0.0,844.0,242341.0,157933.0,10136.0,1437590.0,1346.0,293334.0,112.0,25.0,50767.0,25079400.0,28.0
