name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,fixed,reduced,substituted,minimized,vivified,strengthened,weakened,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,59720,356224,OPTIMAL,63,0.0850225,9.62068,9.7057,125.625,7420.0,2558.0,0.0,283894.0,128117000.0,333195.0,338331.0,7656730.0,9974.0,878341.0,622286.0,37.0,220172.0,100306.0,170175.0,7955.0,0.0,1226.0,261649.0,528907.0,42325.0,39.0,80.0,18.0,162485.0,2053760.0,4.0
c21_6_d2.col,21,105,11,561,3426,OPTIMAL,9,0.00138582,0.0022942,0.00368002,45.81641,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
GEOM90b.col,90,860,109,88074,531893,OPTIMAL,69,0.134244,44.8618,44.9961,161.67578,79419.0,14226.0,0.0,1150320.0,689797000.0,2493030.0,2531190.0,70165200.0,19659.0,5927620.0,3896130.0,113.0,1115730.0,642159.0,1386060.0,4814.0,0.0,7106.0,534844.0,969034.0,282956.0,131.0,523.0,43.0,307831.0,26240200.0,25.0
c55_1_d1.col,55,362,8,825,4165,OPTIMAL,7,0.00182384,0.00451214,0.00633599,45.87891,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,404.0,298.0,,,0.0,,9.0,,210.0,,,,,6317.0,
GEOM50a.col,50,238,61,16594,88596,OPTIMAL,50,0.0222423,0.488067,0.51031,72.17578,762.0,554.0,0.0,12912.0,8753200.0,21526.0,22065.0,307841.0,,18112.0,50543.0,42.0,11738.0,15090.0,3987.0,,0.0,1.0,12644.0,33020.0,3642.0,7.0,,4.0,10997.0,89866.0,
GEOM20a.col,20,37,24,1679,6666,OPTIMAL,20,0.00215242,0.0031281,0.00528052,45.88281,10.0,0.0,0.0,,25248.0,78.0,81.0,411.0,,54.0,448.0,18.0,4.0,719.0,,,0.0,,,,33.0,,,,,145.0,
GEOM100.col,100,547,64,39570,212497,OPTIMAL,50,0.051827,0.702017,0.753844,99.18359,133.0,374.0,0.0,13286.0,7238440.0,15350.0,15747.0,227365.0,,15400.0,56600.0,90.0,16084.0,58778.0,1369.0,,0.0,1.0,26438.0,76218.0,2751.0,4.0,,2.0,25533.0,62515.0,
GEOM110.col,110,638,64,45082,245010,OPTIMAL,50,0.063281,0.791973,0.855254,105.68359,413.0,394.0,0.0,10758.0,12487300.0,22684.0,23291.0,371298.0,,30666.0,69808.0,90.0,19273.0,66353.0,2654.0,,0.0,,28610.0,86493.0,4572.0,8.0,,7.0,29109.0,97155.0,
c21_5_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000622801,0.0027298,0.0033526,45.51953,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
c21_8_d2.col,21,105,11,561,3426,OPTIMAL,9,0.0013112,0.00190921,0.00322042,45.45703,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
c21_7_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000681787,0.00418542,0.0048672,45.52344,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM70a.col,70,459,72,34290,193514,OPTIMAL,61,0.0451979,2.63737,2.68257,95.33984,3380.0,2286.0,0.0,115680.0,44636000.0,138919.0,141788.0,2636710.0,174.0,213159.0,231775.0,13.0,77528.0,25494.0,50037.0,2.0,0.0,1031.0,92423.0,152384.0,18913.0,21.0,2.0,9.0,49703.0,736760.0,4.0
c21_4_d1.col,21,105,11,561,3426,OPTIMAL,9,0.000872991,0.00196119,0.00283418,45.52734,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
GEOM110b.col,110,1256,121,134634,842881,OPTIMAL,77,0.216721,1043.04,1043.25,243.1875,417927.0,97443.0,0.0,1860190.0,5974040000.0,20839000.0,21116500.0,742810000.0,10342.0,82618800.0,24063000.0,415.0,7158210.0,1028990.0,12403200.0,1336.0,0.0,43635.0,1471510.0,1505230.0,2005550.0,299.0,4.0,63.0,490223.0,226520000.0,78.0
GEOM80a.col,80,612,79,46428,274447,OPTIMAL,63,0.0699542,4.92813,4.99809,115.80859,4915.0,2239.0,0.0,154562.0,67953600.0,173853.0,177608.0,3770100.0,7958.0,289293.0,359097.0,,132345.0,69453.0,64313.0,2004.0,0.0,450.0,151440.0,312531.0,25554.0,24.0,,14.0,95767.0,1213340.0,2.0
GEOM30a.col,30,81,32,3918,17597,OPTIMAL,27,0.00414155,0.00498543,0.00912699,45.46484,2.0,1.0,0.0,,110194.0,90.0,93.0,300.0,,4.0,2681.0,20.0,1.0,2455.0,,,0.0,,1.0,,73.0,,,,,39.0,
GEOM80b.col,80,663,98,65124,379807,OPTIMAL,60,0.0985623,5.36568,5.46424,123.15234,8789.0,2396.0,0.0,166232.0,193771000.0,203372.0,207475.0,4133280.0,4284.0,310925.0,1303790.0,220.0,187834.0,484080.0,71943.0,737.0,0.0,635.0,271645.0,561983.0,33527.0,31.0,,15.0,182360.0,1190770.0,2.0
GEOM50b.col,50,249,54,16890,86141,OPTIMAL,35,0.0212533,0.146593,0.167846,65.91016,639.0,30.0,0.0,,10424600.0,4364.0,4474.0,47019.0,,2896.0,88011.0,78.0,439.0,60016.0,133.0,,0.0,,30.0,,1911.0,1.0,,1.0,,10909.0,
GEOM60a.col,60,339,61,22134,122172,OPTIMAL,50,0.0329021,0.56536,0.598262,78.41406,815.0,503.0,0.0,22546.0,11839900.0,21403.0,21976.0,299433.0,157.0,19003.0,84557.0,25.0,20952.0,19478.0,3449.0,12.0,0.0,2.0,32127.0,90796.0,3945.0,7.0,72.0,4.0,30394.0,79111.0,
GEOM70.col,70,267,44,15538,75917,OPTIMAL,38,0.0184653,0.0498139,0.0682792,45.53125,34.0,30.0,0.0,,1196530.0,1977.0,2012.0,18612.0,,1052.0,14187.0,,562.0,4398.0,6.0,,0.0,,30.0,,461.0,1.0,,1.0,,5587.0,
GEOM30b.col,30,81,27,3712,15699,OPTIMAL,26,0.00364573,0.00266496,0.00631069,45.78125,,2.0,0.0,,30080.0,38.0,40.0,123.0,,2.0,765.0,,,509.0,,,0.0,,2.0,,13.0,,,,,5.0,
c21_3_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000435603,0.00289967,0.00333528,45.53125,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
c21_8_d1.col,21,105,11,561,3426,OPTIMAL,9,0.00112156,0.00200768,0.00312923,45.46875,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
c21_1_d2.col,21,105,8,315,1327,OPTIMAL,7,0.000463732,0.00290593,0.00336966,45.53125,22.0,0.0,0.0,,21211.0,578.0,580.0,5529.0,,23.0,662.0,5.0,348.0,184.0,,,0.0,,,,121.0,,,,,2797.0,
GEOM40a.col,40,146,50,9586,47569,OPTIMAL,37,0.011412,0.0393907,0.0508028,45.59766,184.0,54.0,0.0,,1006630.0,2861.0,2943.0,29279.0,,1025.0,8577.0,105.0,650.0,16081.0,30.0,,0.0,,53.0,,664.0,,,,,9636.0,
GEOM40b.col,40,157,40,8416,40727,OPTIMAL,33,0.0106086,0.0220913,0.0327,45.66016,6.0,21.0,0.0,,656262.0,866.0,896.0,7799.0,,224.0,11731.0,,90.0,6041.0,,,0.0,,21.0,,340.0,,,,,2137.0,
c21_2_d1.col,21,105,11,561,3426,OPTIMAL,9,0.000895157,0.00196804,0.0028632,45.53516,,10.0,0.0,,16223.0,177.0,188.0,1141.0,,86.0,219.0,7.0,17.0,374.0,,,0.0,,10.0,,38.0,,,,,264.0,
GEOM110a.col,110,1207,109,114898,723001,OPTIMAL,69,0.177024,139.705,139.882,199.10547,177190.0,28452.0,0.0,2285840.0,1444210000.0,6312670.0,6414480.0,203345000.0,24332.0,19998400.0,8109390.0,468.0,2495150.0,789907.0,3729690.0,42088.0,0.0,14674.0,1382220.0,2008600.0,788695.0,210.0,600.0,90.0,623859.0,65694200.0,40.0
GEOM120a.col,120,1434,109,132622,847219,OPTIMAL,82,0.216952,907.365,907.582,272.48828,441948.0,179947.0,0.0,3312290.0,4262570000.0,23654300.0,23973800.0,777677000.0,26535.0,70725200.0,28786400.0,132.0,8284230.0,407031.0,14872700.0,33788.0,0.0,42476.0,1919370.0,2362020.0,2446710.0,322.0,3481.0,58.0,743400.0,185056000.0,86.0
c55_2_d2.col,55,362,8,825,4165,OPTIMAL,7,0.00176634,0.00444323,0.00620957,45.47266,15.0,9.0,0.0,,53422.0,940.0,978.0,14611.0,,183.0,1608.0,,404.0,298.0,,,0.0,,9.0,,210.0,,,,,6317.0,
GEOM20.col,20,20,24,1360,4619,OPTIMAL,21,0.00145744,0.00180633,0.00326377,45.53906,,1.0,0.0,,22085.0,47.0,49.0,165.0,,0.0,1125.0,5.0,5.0,609.0,,,0.0,,1.0,,16.0,,,,,44.0,
