name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.023883,5.88497,5.90885,100.57812,14466.0,1008.0,0.0,156.0,46016700.0,229595.0,234820.0,5862790.0,814.0,1158620.0,503703.0,,20822.0,0.0,141.0,26440.0,70872.0,32568.0,108843.0,734.0,43928.0,34.0,3.0,24.0,22697.0,1618110.0,2.0
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.00081233,0.00513573,0.00594806,46.05078,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0413599,22.0043,22.0457,111.36328,58923.0,3952.0,0.0,510.0,177589000.0,925676.0,943791.0,28429200.0,5930.0,6349860.0,1942050.0,497.0,62936.0,0.0,385.0,147599.0,164648.0,158395.0,572970.0,1460.0,161665.0,99.0,20.0,64.0,52643.0,7454100.0,8.0
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.00167651,0.00844167,0.0101182,45.87109,27.0,124.0,0.0,,54253.0,1147.0,1209.0,8107.0,,149.0,1544.0,,130.0,0.0,,124.0,,562.0,,,172.0,,,,,807.0,
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.00712056,0.234738,0.241858,60.28125,923.0,51.0,0.0,3.0,2782080.0,13888.0,14371.0,234330.0,,40296.0,28698.0,46.0,1418.0,0.0,10.0,665.0,7393.0,8721.0,1461.0,,3103.0,4.0,,2.0,2452.0,70048.0,
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.0011952,0.00165962,0.00285482,45.93359,4.0,2.0,0.0,,10785.0,101.0,109.0,931.0,,39.0,188.0,18.0,12.0,0.0,,2.0,,947.0,,,36.0,,,,,466.0,
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0273043,0.31741,0.344715,67.67969,1187.0,97.0,0.0,2.0,4073270.0,18445.0,19236.0,309387.0,,48520.0,42220.0,91.0,1597.0,0.0,4.0,595.0,14946.0,25824.0,1803.0,,4688.0,6.0,,4.0,4908.0,88276.0,
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0177141,0.357462,0.375176,69.625,1438.0,109.0,0.0,4.0,4855200.0,19760.0,20503.0,312577.0,,52764.0,60492.0,91.0,1302.0,0.0,1.0,599.0,16524.0,28485.0,2594.0,,5014.0,5.0,,4.0,5408.0,74880.0,
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000378927,0.0021673,0.00254622,45.51562,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000943188,0.00362965,0.00457284,45.51562,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
c21_7_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000388246,0.00207916,0.00246741,45.94141,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
GEOM70a.col,70,459,72,10080,53978,OPTIMAL,61,0.0149322,1.37774,1.39267,67.42578,3477.0,289.0,0.0,57.0,10254900.0,60431.0,62061.0,1300000.0,,258655.0,124953.0,,5692.0,0.0,25.0,5551.0,12806.0,12177.0,22732.0,11.0,11678.0,13.0,,6.0,4206.0,329363.0,1.0
c21_4_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000575917,0.0038271,0.00440302,45.82812,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
GEOM110b.col,110,1256,121,26620,210056,OPTIMAL,77,0.0540296,360.276,360.33,169.83594,284874.0,14333.0,0.0,1515.0,1170190000.0,5373890.0,5448320.0,237741000.0,6935.0,56771200.0,9606040.0,552.0,514560.0,0.0,2018.0,491353.0,221904.0,232458.0,4127170.0,1780.0,674293.0,191.0,31.0,91.0,71398.0,71595400.0,39.0
GEOM80a.col,80,612,79,12640,74908,OPTIMAL,63,0.0207635,4.82952,4.85028,94.46484,11218.0,566.0,0.0,77.0,29362300.0,146659.0,149940.0,3617040.0,327.0,707992.0,295496.0,30.0,14717.0,0.0,62.0,13324.0,46915.0,26173.0,71687.0,485.0,25053.0,23.0,,15.0,14908.0,1039610.0,2.0
GEOM30a.col,30,81,32,1920,6582,OPTIMAL,27,0.00191534,0.0350136,0.036929,45.53125,,15.0,0.0,,46416.0,269.0,295.0,3549.0,,457.0,803.0,16.0,34.0,0.0,,15.0,,1611.0,,,94.0,,,,,670.0,
GEOM80b.col,80,663,98,15680,99374,OPTIMAL,60,0.0330143,4.00176,4.03477,95.48047,12746.0,774.0,0.0,130.0,47474100.0,197577.0,202067.0,5152910.0,1509.0,1103950.0,454380.0,567.0,16527.0,0.0,109.0,22113.0,76577.0,128234.0,85806.0,821.0,37910.0,35.0,4.0,28.0,24441.0,1383410.0,2.0
GEOM50b.col,50,249,54,5400,25196,OPTIMAL,35,0.00692161,0.134137,0.141059,57.91406,252.0,59.0,0.0,122.0,2000710.0,6999.0,7345.0,130086.0,,21930.0,17386.0,174.0,577.0,0.0,10.0,309.0,5236.0,22819.0,436.0,180.0,2012.0,2.0,,1.0,1613.0,24899.0,
GEOM60a.col,60,339,61,7320,35979,OPTIMAL,50,0.00935431,0.297206,0.30656,61.48828,1636.0,121.0,0.0,12.0,5204340.0,20902.0,21636.0,346624.0,197.0,57006.0,61984.0,36.0,2439.0,0.0,10.0,1081.0,18496.0,10366.0,3298.0,,4876.0,8.0,60.0,4.0,6032.0,105870.0,
GEOM70.col,70,267,44,6160,24488,OPTIMAL,38,0.0100564,0.0248468,0.0349032,45.96094,62.0,8.0,0.0,,252390.0,1318.0,1399.0,17417.0,,1691.0,3666.0,21.0,183.0,0.0,,8.0,,4912.0,9.0,,403.0,,,,,5777.0,
GEOM30b.col,30,81,27,1620,5457,OPTIMAL,26,0.00194607,0.0014827,0.00342877,45.47266,,4.0,0.0,,3712.0,35.0,37.0,181.0,,0.0,38.0,5.0,6.0,0.0,,4.0,,443.0,,,4.0,,,,,33.0,
c21_3_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000575759,0.0349179,0.0354937,45.96094,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
c21_8_d1.col,21,105,11,462,2121,OPTIMAL,9,0.000534491,0.00367199,0.00420648,45.53516,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
c21_1_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000366952,0.00246684,0.00283379,45.47266,15.0,68.0,0.0,,15026.0,380.0,419.0,1830.0,,26.0,552.0,3.0,71.0,0.0,,67.0,,266.0,,,95.0,,,,,292.0,
GEOM40a.col,40,146,50,4000,15820,OPTIMAL,37,0.00462166,0.0207907,0.0254124,45.47266,69.0,11.0,0.0,,416998.0,1786.0,1956.0,24915.0,,2620.0,6428.0,65.0,201.0,0.0,,11.0,,9480.0,18.0,,485.0,,,,,6412.0,
GEOM40b.col,40,157,40,3200,12960,OPTIMAL,33,0.00356486,0.0183067,0.0218715,45.47656,126.0,15.0,0.0,,261333.0,1400.0,1496.0,18478.0,,2406.0,3725.0,29.0,114.0,0.0,,15.0,,3523.0,15.0,,390.0,,,,,5401.0,
c21_2_d1.col,21,105,11,462,2121,OPTIMAL,9,0.00080619,0.00386924,0.00467543,45.47656,,6.0,0.0,,28039.0,459.0,470.0,4137.0,,142.0,596.0,4.0,95.0,0.0,,6.0,,457.0,,,87.0,,,,,844.0,
GEOM110a.col,110,1207,109,23980,183923,OPTIMAL,69,0.0468949,87.5418,87.5887,135.47656,126727.0,9711.0,0.0,3033.0,637181000.0,3240250.0,3302180.0,122284000.0,17334.0,28409500.0,6194860.0,525.0,183885.0,0.0,1139.0,316466.0,290715.0,192609.0,2399720.0,2902.0,563935.0,200.0,125.0,152.0,93355.0,28005900.0,22.0
GEOM120a.col,120,1434,109,26160,211866,OPTIMAL,82,0.05861,139.899,139.957,136.04688,129581.0,7913.0,0.0,985.0,419375000.0,2497920.0,2537230.0,81698600.0,7529.0,17643500.0,4808990.0,110.0,217797.0,0.0,757.0,259298.0,255887.0,100620.0,1757750.0,1978.0,378725.0,136.0,53.0,84.0,82634.0,21756100.0,19.0
c55_2_d2.col,55,362,8,880,4711,OPTIMAL,7,0.00169198,0.00696696,0.00865893,45.53906,27.0,124.0,0.0,,54253.0,1147.0,1209.0,8107.0,,149.0,1544.0,,130.0,0.0,,124.0,,562.0,,,172.0,,,,,807.0,
GEOM20.col,20,20,24,960,2460,OPTIMAL,21,0.00108738,0.00135538,0.00244276,45.53906,,0.0,0.0,,16947.0,63.0,74.0,369.0,,0.0,412.0,,10.0,0.0,,,,638.0,,,22.0,,,,,164.0,
