name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00263252,0.00420538,0.0068379,45.53125,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
GEOM90b.col,90,860,109,12240,82871,OPTIMAL,69,1.10507,45.0493,46.1544,118.96484,54206.0,3017.0,0.0,197.0,178166000.0,921473.0,937318.0,29991200.0,7092620.0,1704320.0,13.0,73563.0,0.0,332.0,115317.0,135779.0,7901.0,586791.0,1260.0,144184.0,90.0,23.0,43295.0,8362480.0,21.0
c55_1_d1.col,55,362,8,660,3438,OPTIMAL,7,0.00416967,0.0107524,0.0149221,45.47266,45.0,77.0,0.0,,28127.0,606.0,649.0,3524.0,73.0,953.0,,101.0,0.0,,75.0,,241.0,,,115.0,,,,528.0,
GEOM50a.col,50,238,61,4900,21413,OPTIMAL,50,0.0761623,0.274544,0.350706,59.65234,580.0,98.0,0.0,3.0,2627340.0,15123.0,15609.0,265111.0,45520.0,24334.0,4.0,1670.0,0.0,4.0,524.0,7320.0,1647.0,1579.0,,3243.0,6.0,4.0,2427.0,73059.0,
GEOM20a.col,20,37,24,760,2204,OPTIMAL,20,0.00456978,0.00178198,0.00635176,45.53516,,1.0,0.0,,4796.0,38.0,41.0,172.0,3.0,80.0,4.0,4.0,0.0,,1.0,,444.0,,,15.0,,,,49.0,
GEOM100.col,100,547,64,9800,46304,OPTIMAL,50,0.199028,0.511863,0.710891,67.80859,910.0,113.0,0.0,14.0,4967720.0,21877.0,22621.0,337879.0,57162.0,37246.0,7.0,1988.0,0.0,7.0,1328.0,30054.0,2925.0,2393.0,,5259.0,7.0,4.0,9866.0,81759.0,
GEOM110.col,110,638,64,10780,52713,OPTIMAL,50,0.239824,0.618096,0.85792,70.54297,1056.0,153.0,0.0,13.0,5616840.0,23217.0,24062.0,403553.0,72145.0,47654.0,7.0,1833.0,0.0,6.0,1297.0,33238.0,3071.0,3678.0,,5609.0,8.0,4.0,10876.0,99246.0,
c21_5_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00127333,0.00165015,0.00292347,45.47656,8.0,41.0,0.0,,7554.0,209.0,237.0,927.0,5.0,293.0,2.0,28.0,0.0,,41.0,,144.0,,,51.0,,,,123.0,
c21_8_d2.col,21,105,11,336,1492,OPTIMAL,9,0.00177634,0.00281204,0.00458838,45.47656,8.0,9.0,0.0,,17237.0,259.0,271.0,1951.0,71.0,323.0,2.0,55.0,0.0,,8.0,,295.0,,,44.0,,,,656.0,
c21_7_d2.col,21,105,8,252,1114,OPTIMAL,7,0.00141648,0.00200574,0.00342223,45.47656,8.0,41.0,0.0,,7554.0,209.0,237.0,927.0,5.0,293.0,2.0,28.0,0.0,,41.0,,144.0,,,51.0,,,,123.0,
