name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.003019,0.00304727,0.00606627,46.02344,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
GEOM90b.col,90,860,109,31589,232114,OPTIMAL,69,4.22213,62.873,67.0951,130.28906,549776.0,29758.0,8508.0,0.0,696483.0,401642000.0,1545110.0,1566450.0,41780400.0,4501100.0,1814920.0,2.0,2480.0,0.0,633779.0,504292.0,818.0,887185.0,,169325.0,103.0,20.0,157950.0,12023100.0,27.0
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00420615,0.00430978,0.00851594,46.14844,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM50a.col,50,238,61,10655,58876,OPTIMAL,50,0.253859,0.813203,1.06706,71.45312,10009.0,748.0,525.0,0.0,12220.0,7837620.0,22582.0,23205.0,333508.0,18733.0,31052.0,4.0,4.0,0.0,26318.0,50666.0,433.0,3717.0,,3685.0,7.0,3.0,15432.0,88971.0,
GEOM20a.col,20,37,24,1170,4498,OPTIMAL,20,0.00930151,0.00301082,0.0123123,46.08984,29.0,,7.0,0.0,,22467.0,118.0,129.0,680.0,11.0,220.0,4.0,,0.0,7.0,,130.0,,,42.0,,,,228.0,
GEOM100.col,100,547,64,22544,129055,OPTIMAL,50,0.850798,1.44809,2.29889,93.55078,14550.0,746.0,340.0,0.0,7.0,10560200.0,20428.0,20936.0,303575.0,25727.0,33470.0,7.0,1.0,0.0,61565.0,110764.0,302.0,3863.0,,3885.0,6.0,3.0,34280.0,78441.0,
GEOM110.col,110,638,64,25204,147474,OPTIMAL,50,0.884661,1.07775,1.96241,100.65625,9842.0,435.0,443.0,0.0,1.0,8276270.0,19216.0,19708.0,283180.0,23024.0,33524.0,7.0,,0.0,30985.0,62931.0,432.0,2921.0,,3508.0,7.0,4.0,19480.0,64278.0,
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00164311,0.0043256,0.00596871,46.02734,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00421716,0.00462768,0.00884483,45.53906,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00168732,0.00592522,0.00761254,45.66406,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM70a.col,70,459,72,19647,124330,OPTIMAL,61,0.513644,5.44021,5.95385,91.24609,86930.0,5734.0,1957.0,0.0,121382.0,38382800.0,173239.0,176062.0,3377010.0,237389.0,210979.0,,334.0,0.0,94831.0,100181.0,469.0,60359.0,,20094.0,23.0,7.0,30979.0,1165840.0,5.0
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00295931,0.00337286,0.00633217,46.40625,85.0,6.0,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,,0.0,2.0,,220.0,,,66.0,,,,860.0,
GEOM110b.col,110,1256,121,44621,359353,OPTIMAL,77,7.09637,1035.91,1043.01,207.39844,5675240.0,344793.0,84451.0,0.0,2172820.0,4815350000.0,17207100.0,17447600.0,615219000.0,69166000.0,19525500.0,4.0,41674.0,0.0,1459830.0,708643.0,1539.0,10598400.0,1.0,1722300.0,273.0,25.0,222320.0,182025000.0,81.0
GEOM80a.col,80,612,79,24385,162851,OPTIMAL,63,1.114,10.3332,11.4472,104.48047,102799.0,5702.0,2240.0,0.0,107277.0,73746300.0,288662.0,292634.0,6478160.0,723450.0,348442.0,3.0,901.0,0.0,154802.0,181240.0,544.0,151923.0,,31425.0,30.0,8.0,56512.0,1806140.0,6.0
GEOM30a.col,30,81,32,2778,12243,OPTIMAL,27,0.027386,0.00510485,0.0324908,46.09375,10.0,1.0,1.0,0.0,,37736.0,128.0,133.0,926.0,53.0,256.0,5.0,,0.0,1.0,,639.0,,,42.0,,,,139.0,
GEOM80b.col,80,663,98,23663,161029,OPTIMAL,60,2.80118,6.60583,9.40701,106.71094,75757.0,4576.0,1610.0,0.0,75289.0,53266100.0,153260.0,156133.0,3115620.0,229347.0,201287.0,5.0,723.0,0.0,152669.0,121329.0,700.0,51922.0,,21106.0,25.0,8.0,37826.0,965713.0,4.0
GEOM50b.col,50,249,54,7431,39806,OPTIMAL,35,0.315298,0.177216,0.492514,64.70703,632.0,107.0,100.0,0.0,,2109240.0,4560.0,4767.0,65758.0,6377.0,8881.0,2.0,,0.0,100.0,,1183.0,399.0,,1119.0,2.0,1.0,,11834.0,
