name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00195833,0.0043861,0.00634443,45.51953,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
GEOM90b.col,90,860,109,6120,64600,OPTIMAL,69,0.940543,37.0222,37.9627,84.26172,44849.0,3353.0,0.0,182.0,126906000.0,796532.0,810280.0,25587500.0,6080550.0,1533060.0,14.0,752.0,66569.0,0.0,84374.0,333.0,4513.0,507491.0,16.0,120812.0,81.0,21.0,50.0,7305560.0,17.0
c55_1_d1.col,55,362,8,330,2502,OPTIMAL,7,0.00295738,0.00297027,0.00592765,45.94922,8.0,95.0,0.0,,7849.0,464.0,523.0,2405.0,14.0,772.0,,,99.0,0.0,94.0,,191.0,,,129.0,,,,344.0,
GEOM50a.col,50,238,61,2450,14112,OPTIMAL,50,0.0530595,0.184831,0.237891,56.88672,584.0,122.0,0.0,7.0,928047.0,10452.0,10816.0,183845.0,32039.0,35105.0,4.0,14.0,1285.0,0.0,915.0,3.0,928.0,2163.0,1.0,1972.0,4.0,2.0,2.0,58995.0,
GEOM20a.col,20,37,24,380,1083,OPTIMAL,20,0.00322171,0.00267666,0.00589837,45.46094,,28.0,0.0,,5314.0,85.0,115.0,712.0,55.0,600.0,4.0,,6.0,0.0,28.0,,212.0,,,31.0,,,,44.0,
GEOM100.col,100,547,64,4900,31703,OPTIMAL,50,0.149068,0.322643,0.471712,62.44531,314.0,133.0,0.0,11.0,1516230.0,18965.0,19531.0,345651.0,65030.0,60210.0,7.0,119.0,1880.0,0.0,1174.0,5.0,1934.0,3665.0,1.0,3720.0,7.0,4.0,9.0,105688.0,
GEOM110.col,110,638,64,5390,36652,OPTIMAL,50,0.175719,0.401954,0.577673,64.5,522.0,203.0,0.0,24.0,1818920.0,18963.0,19667.0,321477.0,54951.0,81311.0,7.0,476.0,2009.0,0.0,2330.0,11.0,2104.0,3750.0,4.0,4025.0,6.0,4.0,37.0,90768.0,
c21_5_d2.col,21,105,8,126,756,OPTIMAL,7,0.000971796,0.00253461,0.0035064,45.95312,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
c21_8_d2.col,21,105,11,168,1008,OPTIMAL,9,0.00200219,0.00443706,0.00643925,45.52734,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
c21_7_d2.col,21,105,8,126,756,OPTIMAL,7,0.00107585,0.00284132,0.00391717,45.52734,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM70a.col,70,459,72,4200,31740,OPTIMAL,61,0.115025,1.67262,1.78765,64.40625,2352.0,460.0,0.0,9.0,7302450.0,71145.0,72927.0,1499000.0,310827.0,151123.0,,166.0,6355.0,0.0,9790.0,41.0,1308.0,30254.0,1.0,12794.0,15.0,5.0,12.0,382500.0,3.0
c21_4_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00199894,0.00422171,0.00622065,45.46484,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
GEOM110b.col,110,1256,121,8360,103816,OPTIMAL,77,1.67175,233.521,235.193,133.36328,129845.0,7124.0,0.0,299.0,461932000.0,2336680.0,2371550.0,95300400.0,21932500.0,4275720.0,13.0,443.0,279372.0,0.0,262471.0,991.0,5285.0,1622290.0,27.0,300111.0,116.0,27.0,48.0,31233700.0,29.0
GEOM80a.col,80,612,79,4960,42904,OPTIMAL,63,0.230414,4.96134,5.19175,68.69531,9453.0,885.0,0.0,38.0,17822400.0,138931.0,142031.0,3457080.0,642242.0,313531.0,2.0,262.0,14601.0,0.0,18905.0,68.0,1826.0,67285.0,16.0,23086.0,23.0,8.0,16.0,1079170.0,3.0
GEOM30a.col,30,81,32,780,2886,OPTIMAL,27,0.00733982,0.00829525,0.0156351,45.46875,2.0,34.0,0.0,,33918.0,565.0,625.0,11015.0,1422.0,2568.0,3.0,,43.0,0.0,34.0,,316.0,,,141.0,,,,1182.0,
GEOM80b.col,80,663,98,4720,43837,OPTIMAL,60,0.599799,2.8659,3.4657,69.76562,2203.0,706.0,0.0,35.0,12438500.0,103424.0,105942.0,2666480.0,623552.0,219059.0,18.0,126.0,9695.0,0.0,11595.0,45.0,3658.0,40475.0,1.0,18103.0,22.0,10.0,14.0,715827.0,2.0
GEOM50b.col,50,249,54,1700,10166,OPTIMAL,35,0.0701418,0.0674317,0.137573,55.39062,21.0,94.0,0.0,,332447.0,4381.0,4652.0,81353.0,15387.0,13583.0,11.0,,477.0,0.0,94.0,,1790.0,249.0,,1033.0,2.0,1.0,,19194.0,
GEOM60a.col,60,339,61,2940,19551,OPTIMAL,50,0.0713353,0.236757,0.308093,59.30469,346.0,198.0,0.0,30.0,1131560.0,14838.0,15338.0,257544.0,44979.0,44686.0,3.0,200.0,1740.0,0.0,1297.0,9.0,966.0,2654.0,,2950.0,6.0,3.0,17.0,76003.0,
GEOM70.col,70,267,44,2590,12469,OPTIMAL,38,0.0313846,0.0178034,0.049188,45.72266,6.0,58.0,0.0,,78938.0,1147.0,1244.0,20397.0,2101.0,9700.0,3.0,,210.0,0.0,58.0,,735.0,,,242.0,,,,5965.0,
GEOM30b.col,30,81,27,750,2775,OPTIMAL,26,0.0026634,0.00136097,0.00402438,45.89844,,18.0,0.0,,2863.0,36.0,52.0,492.0,9.0,107.0,2.0,,3.0,0.0,18.0,,183.0,,,2.0,,,,109.0,
c21_3_d2.col,21,105,8,126,756,OPTIMAL,7,0.00104819,0.00310332,0.0041515,45.53516,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
c21_8_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00195207,0.00444446,0.00639653,45.53516,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
c21_1_d2.col,21,105,8,126,756,OPTIMAL,7,0.00105808,0.00288505,0.00394314,45.47266,32.0,98.0,0.0,,5844.0,414.0,458.0,2218.0,17.0,688.0,1.0,,77.0,0.0,96.0,,90.0,,,70.0,,,,316.0,
GEOM40a.col,40,146,50,1440,6696,OPTIMAL,37,0.0307018,0.0276627,0.0583645,45.16016,15.0,93.0,0.0,,137721.0,2189.0,2353.0,38869.0,3908.0,14622.0,5.0,,315.0,0.0,93.0,,708.0,,,416.0,,,,11903.0,
GEOM40b.col,40,157,40,1280,6304,OPTIMAL,33,0.0172628,0.0444256,0.0616884,44.85156,5.0,29.0,0.0,,60445.0,930.0,991.0,13676.0,1689.0,5311.0,3.0,,122.0,0.0,29.0,,520.0,,,223.0,,,,4104.0,
c21_2_d1.col,21,105,11,168,1008,OPTIMAL,9,0.00199242,0.00371066,0.00570308,45.47656,,12.0,0.0,,10224.0,331.0,342.0,3276.0,194.0,423.0,1.0,,88.0,0.0,12.0,,149.0,,,48.0,,,,710.0,
GEOM110a.col,110,1207,109,7480,89556,OPTIMAL,69,1.34676,246.826,248.173,145.76953,193032.0,12345.0,0.0,2377.0,747644000.0,3910680.0,3979480.0,137939000.0,30314200.0,7482170.0,15.0,766.0,266458.0,0.0,392052.0,2048.0,5404.0,2847170.0,27.0,626855.0,198.0,36.0,41.0,34245100.0,52.0
GEOM120a.col,120,1434,109,9720,125874,OPTIMAL,82,1.1761,123.763,124.94,131.16406,84338.0,7062.0,0.0,267.0,272842000.0,1878000.0,1907080.0,61282900.0,13148600.0,3346120.0,4.0,322.0,208937.0,0.0,207173.0,615.0,4208.0,1262380.0,28.0,267758.0,116.0,27.0,23.0,18063500.0,28.0
c55_2_d2.col,55,362,8,330,2502,OPTIMAL,7,0.00276203,0.00307907,0.0058411,45.60156,8.0,95.0,0.0,,7849.0,464.0,523.0,2405.0,14.0,772.0,,,99.0,0.0,94.0,,191.0,,,129.0,,,,344.0,
GEOM20.col,20,20,24,400,800,OPTIMAL,21,0.00133474,0.00107764,0.00241238,45.96484,,10.0,0.0,,3276.0,23.0,34.0,215.0,9.0,1374.0,,,2.0,0.0,10.0,,169.0,,,9.0,,,,30.0,
