name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,weakened,subsumed,minimized,strengthened,vivified,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,59720,356184,OPTIMAL,63,0.0942214,9.67839,9.77261,128.19922,5838.0,2190.0,0.0,212256.0,107485000.0,284419.0,288379.0,6481240.0,,691321.0,543631.0,37.0,252757.0,140180.0,0.0,137498.0,818.0,98326.0,136205.0,,32143.0,26.0,,8.0,81876.0,1762100.0,5.0
c21_6_d2.col,21,105,11,561,3420,OPTIMAL,9,0.000989368,0.00308417,0.00407354,45.58984,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
GEOM90b.col,90,860,109,88074,531838,OPTIMAL,69,0.141534,67.0228,67.1643,164.40234,64147.0,18391.0,0.0,1436380.0,927724000.0,3344420.0,3391060.0,97622500.0,23071.0,10435100.0,4930860.0,41.0,1166740.0,1340780.0,0.0,748741.0,10601.0,608254.0,1925470.0,15062.0,350219.0,156.0,1250.0,69.0,364349.0,29842600.0,25.0
c55_1_d1.col,55,362,8,825,4161,OPTIMAL,7,0.0021067,0.00639477,0.00850147,45.95703,40.0,6.0,0.0,,40212.0,894.0,903.0,9635.0,,37.0,1348.0,,,536.0,0.0,4.0,,279.0,,,143.0,,,,,4731.0,
GEOM50a.col,50,238,61,16594,88565,OPTIMAL,50,0.0243236,0.442157,0.466481,71.34375,672.0,424.0,0.0,7447.0,6872380.0,15177.0,15592.0,208931.0,,12774.0,42332.0,42.0,33418.0,9400.0,0.0,12821.0,1.0,13080.0,2597.0,,2856.0,4.0,,2.0,11107.0,52776.0,
GEOM20a.col,20,37,24,1679,6654,OPTIMAL,20,0.00241928,0.00337932,0.0057986,45.34375,10.0,0.0,0.0,,25774.0,74.0,75.0,289.0,,1.0,366.0,18.0,,10.0,0.0,,,719.0,,,25.0,,,,,78.0,
GEOM100.col,100,547,64,39570,212465,OPTIMAL,50,0.057423,0.845523,0.902946,97.38281,416.0,331.0,0.0,34883.0,11279400.0,23044.0,23647.0,343742.0,248.0,24750.0,114357.0,91.0,157218.0,29787.0,0.0,59385.0,2.0,54822.0,2646.0,13.0,4337.0,7.0,116.0,4.0,52478.0,93858.0,
GEOM110.col,110,638,64,45082,244978,OPTIMAL,50,0.067189,0.90348,0.970669,104.88672,126.0,254.0,0.0,16905.0,8090360.0,16537.0,16906.0,262674.0,,22769.0,51987.0,91.0,87437.0,17996.0,0.0,29311.0,,62916.0,2901.0,,2978.0,5.0,,2.0,29359.0,67812.0,
c21_5_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000683526,0.00456038,0.00524391,46.02344,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,,579.0,0.0,4.0,,178.0,,,147.0,,,,,4560.0,
c21_8_d2.col,21,105,11,561,3420,OPTIMAL,9,0.000914297,0.00342332,0.00433762,45.53516,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
c21_7_d2.col,21,105,8,315,1323,OPTIMAL,7,0.000690218,0.00632156,0.00701178,46.02344,56.0,5.0,0.0,,33223.0,898.0,908.0,9106.0,,37.0,1115.0,3.0,,579.0,0.0,4.0,,178.0,,,147.0,,,,,4560.0,
GEOM70a.col,70,459,72,34290,193478,OPTIMAL,61,0.0498564,3.79998,3.84983,92.98047,5162.0,2140.0,0.0,116471.0,45311800.0,168368.0,171137.0,3416060.0,146.0,260232.0,268211.0,,153362.0,91862.0,0.0,91176.0,1019.0,21643.0,71742.0,,19519.0,23.0,,9.0,50100.0,1000380.0,3.0
c21_4_d1.col,21,105,11,561,3420,OPTIMAL,9,0.00141128,0.00462913,0.00604041,46.08594,,8.0,0.0,,32861.0,391.0,403.0,3168.0,,220.0,441.0,7.0,,46.0,0.0,8.0,,347.0,,,83.0,,,,,672.0,
GEOM110b.col,110,1256,121,134634,842820,OPTIMAL,77,0.220205,842.822,843.042,233.32812,332134.0,82332.0,0.0,1470600.0,4383790000.0,15448200.0,15656900.0,544831000.0,7285.0,59210100.0,18312900.0,178.0,1248810.0,5511890.0,0.0,1158930.0,37380.0,995597.0,9219950.0,436.0,1492840.0,230.0,109.0,41.0,410609.0,164384000.0,61.0
