name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00229647,0.00336153,0.00565801,45.46484,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,1.09919,41.409,42.5082,112.26953,51634.0,2971.0,0.0,173.0,163045000.0,826220.0,840800.0,26361800.0,6159250.0,1536880.0,14.0,75689.0,0.0,353.0,101982.0,136287.0,4274.0,498556.0,1267.0,127269.0,83.0,22.0,43548.0,7594730.0,18.0
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00258224,0.0035797,0.00616194,46.08203,43.0,77.0,0.0,,25739.0,596.0,639.0,3358.0,60.0,913.0,,101.0,0.0,,75.0,,219.0,,,114.0,,,,508.0,
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.0725189,0.265809,0.338327,59.89844,532.0,85.0,0.0,4.0,2589410.0,14531.0,15007.0,243818.0,42658.0,23228.0,4.0,1586.0,0.0,2.0,450.0,7390.0,962.0,1254.0,,3221.0,6.0,4.0,2451.0,67670.0,
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00568378,0.00278878,0.00847256,45.53125,,1.0,0.0,,6609.0,67.0,71.0,633.0,31.0,115.0,4.0,9.0,0.0,,1.0,,314.0,,,27.0,,,,385.0,
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.202137,0.456246,0.658383,67.96094,580.0,125.0,0.0,6.0,4560440.0,18008.0,18634.0,305118.0,53534.0,31554.0,7.0,1685.0,0.0,9.0,1123.0,30200.0,1844.0,1419.0,,4303.0,6.0,3.0,9916.0,79776.0,
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.230467,0.453329,0.683796,69.83203,820.0,96.0,0.0,5.0,4149440.0,19653.0,20372.0,333464.0,56884.0,48269.0,7.0,1669.0,0.0,4.0,621.0,16524.0,2080.0,2773.0,,4635.0,8.0,4.0,5408.0,83771.0,
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.0011307,0.00233957,0.00347027,45.95703,33.0,57.0,0.0,,14903.0,415.0,443.0,2085.0,13.0,670.0,1.0,77.0,0.0,,56.0,,137.0,,,79.0,,,,350.0,
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00254911,0.00493073,0.00747983,45.47266,1.0,4.0,0.0,,21820.0,338.0,344.0,3036.0,180.0,379.0,1.0,68.0,0.0,,4.0,,259.0,,,42.0,,,,880.0,
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00124126,0.00229979,0.00354105,45.47266,33.0,57.0,0.0,,14903.0,415.0,443.0,2085.0,13.0,670.0,1.0,77.0,0.0,,56.0,,137.0,,,79.0,,,,350.0,
