name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,eliminated,chronological,rephased,reactivated,stabilizing,shrunken,walked
GEOM90a.col,90,789,80,14400,93451,OPTIMAL,63,0.0256877,5.38627,5.41196,97.80078,13555.0,1150.0,0.0,222.0,47568500.0,247629.0,253735.0,5989500.0,394.0,1262200.0,511943.0,,19893.0,0.0,102.0,26477.0,70650.0,33802.0,120840.0,735.0,22598.0,48967.0,38.0,8.0,23.0,1515660.0,1.0
c21_6_d2.col,21,105,11,462,2122,OPTIMAL,9,0.00052065,0.00215316,0.00267381,45.44531,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM90b.col,90,860,109,19620,136581,OPTIMAL,69,0.0355871,32.358,32.3935,116.53516,76523.0,4885.0,0.0,913.0,275986000.0,1495170.0,1519680.0,52141600.0,1737.0,12553000.0,2836490.0,467.0,110896.0,0.0,549.0,202517.0,164638.0,160398.0,1027160.0,1497.0,52493.0,227540.0,126.0,751.0,84.0,13877800.0,12.0
c55_1_d1.col,55,362,8,880,4712,OPTIMAL,7,0.00103613,0.00341286,0.00444899,45.51172,2.0,101.0,0.0,,34587.0,756.0,809.0,5029.0,,96.0,989.0,,73.0,0.0,,100.0,,565.0,,,,140.0,,,,417.0,
GEOM50a.col,50,238,61,6100,27269,OPTIMAL,50,0.0112327,0.289182,0.300415,59.27344,1667.0,122.0,0.0,6.0,4381410.0,20069.0,20762.0,360318.0,28.0,62209.0,52438.0,46.0,1983.0,0.0,12.0,1146.0,14992.0,9470.0,3317.0,,4964.0,4405.0,6.0,12.0,4.0,107063.0,
GEOM20a.col,20,37,24,960,2889,OPTIMAL,20,0.00114724,0.00225908,0.00340632,45.51172,,2.0,0.0,,9477.0,80.0,86.0,562.0,,2.0,163.0,18.0,8.0,0.0,,2.0,,1058.0,,,,35.0,,,,318.0,
GEOM100.col,100,547,64,12800,62009,OPTIMAL,50,0.0165814,0.380797,0.397378,66.88281,1390.0,100.0,0.0,9.0,6085000.0,24887.0,25788.0,437888.0,54.0,79391.0,64702.0,91.0,1931.0,0.0,4.0,1141.0,30408.0,26687.0,3223.0,,9980.0,6190.0,8.0,26.0,7.0,113060.0,
GEOM110.col,110,638,64,14080,70533,OPTIMAL,50,0.025306,0.457777,0.483083,71.46094,2642.0,152.0,0.0,40.0,7340880.0,27734.0,28792.0,435233.0,134.0,74875.0,79013.0,91.0,2044.0,0.0,18.0,2429.0,33788.0,29144.0,4112.0,3.0,11023.0,7028.0,6.0,,4.0,115887.0,
c21_5_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000568352,0.00174515,0.0023135,45.45312,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
c21_8_d2.col,21,105,11,462,2122,OPTIMAL,9,0.000864645,0.00204853,0.00291317,45.51562,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
c21_7_d2.col,21,105,8,336,1534,OPTIMAL,7,0.000686041,0.0300599,0.0307459,45.45312,2.0,48.0,0.0,,8831.0,260.0,286.0,1139.0,,5.0,323.0,5.0,47.0,0.0,,47.0,,279.0,,,,46.0,,,,186.0,
GEOM70a.col,70,459,72,10080,53979,OPTIMAL,61,0.014184,1.10303,1.11721,67.17578,4712.0,385.0,0.0,33.0,13481700.0,68952.0,70921.0,1337040.0,274.0,266877.0,140645.0,,5812.0,0.0,40.0,8597.0,39713.0,12798.0,21816.0,3.0,12994.0,15249.0,16.0,5.0,12.0,329180.0,
c21_4_d1.col,21,105,11,462,2122,OPTIMAL,9,0.00081717,0.00294788,0.00376505,45.88281,,7.0,0.0,,12750.0,189.0,197.0,1264.0,,32.0,220.0,7.0,38.0,0.0,,7.0,,468.0,,,,35.0,,,,433.0,
GEOM110b.col,110,1256,121,26620,210057,OPTIMAL,77,0.0546145,236.804,236.859,156.82031,145541.0,8809.0,0.0,652.0,668904000.0,3257170.0,3302550.0,138340000.0,1819.0,33788400.0,5662310.0,520.0,302367.0,0.0,987.0,360262.0,223704.0,234139.0,2433200.0,2036.0,72066.0,426819.0,144.0,916.0,68.0,40317700.0,27.0
GEOM80a.col,80,612,79,12640,74909,OPTIMAL,63,0.0205441,2.46588,2.48642,94.03906,5016.0,472.0,0.0,38.0,23649200.0,102263.0,105017.0,2331650.0,273.0,480413.0,197805.0,30.0,9409.0,0.0,48.0,8836.0,46588.0,27359.0,36993.0,483.0,14829.0,20597.0,23.0,,19.0,591490.0,1.0
GEOM30a.col,30,81,32,1920,6583,OPTIMAL,27,0.00182336,0.0039589,0.00578226,45.94922,2.0,9.0,0.0,,41858.0,362.0,380.0,4446.0,,429.0,688.0,22.0,35.0,0.0,,9.0,,2007.0,,,,149.0,,,,989.0,
GEOM80b.col,80,663,98,15680,99375,OPTIMAL,60,0.0250952,2.88746,2.91255,94.57812,6959.0,508.0,0.0,83.0,34196600.0,128920.0,132359.0,3164320.0,530.0,679385.0,313188.0,567.0,9565.0,0.0,46.0,13946.0,60332.0,130810.0,51337.0,653.0,19207.0,26736.0,26.0,5.0,23.0,872866.0,1.0
GEOM50b.col,50,249,54,5400,25197,OPTIMAL,35,0.00643941,0.065622,0.0720614,45.94922,249.0,83.0,0.0,,1350730.0,6576.0,6991.0,123849.0,,16272.0,16368.0,191.0,385.0,0.0,,83.0,,24112.0,438.0,,,2226.0,1.0,,1.0,19102.0,
GEOM60a.col,60,339,61,7320,35980,OPTIMAL,50,0.00973883,0.247315,0.257054,61.53906,505.0,84.0,0.0,5.0,2879200.0,12869.0,13321.0,216000.0,,36227.0,25092.0,25.0,1571.0,0.0,3.0,480.0,8997.0,11066.0,1649.0,,2936.0,2766.0,4.0,,2.0,61842.0,
GEOM70.col,70,267,44,6160,24489,OPTIMAL,38,0.00626909,0.0182801,0.0245492,45.95312,19.0,7.0,0.0,,225731.0,1355.0,1469.0,17392.0,,1730.0,3002.0,21.0,212.0,0.0,,7.0,,5034.0,10.0,,,409.0,,,,5854.0,
