name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,restored,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,reactivated,stabilizing,eliminated,shrunken,walked
GEOM90a.col,90,789,80,14400,93450,OPTIMAL,63,0.0254294,5.34181,5.36724,97.45312,13836.0,1181.0,0.0,193.0,47378100.0,239528.0,246006.0,5822770.0,1057.0,1238610.0,617666.0,,18186.0,0.0,113.0,27817.0,70895.0,32875.0,113789.0,737.0,46660.0,35.0,6.0,27.0,22692.0,1388520.0,1.0
c21_6_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000845698,0.00458415,0.00542985,46.02344,,12.0,0.0,,28398.0,421.0,446.0,4050.0,,189.0,572.0,4.0,59.0,0.0,,12.0,,513.0,,,102.0,,,,,484.0,
GEOM90b.col,90,860,109,19620,136580,OPTIMAL,69,0.0369064,18.8289,18.8659,104.62109,38168.0,2526.0,0.0,409.0,128647000.0,612796.0,624719.0,19105700.0,3546.0,4364420.0,1610050.0,497.0,50652.0,0.0,323.0,91705.0,120486.0,158968.0,363880.0,1108.0,102880.0,69.0,19.0,44.0,38428.0,5333220.0,7.0
c55_1_d1.col,55,362,8,880,4711,OPTIMAL,7,0.0015971,0.00519312,0.00679022,45.96875,6.0,67.0,0.0,,69467.0,891.0,934.0,9297.0,,234.0,1258.0,,111.0,0.0,,67.0,,557.0,,,174.0,,,,,1485.0,
GEOM50a.col,50,238,61,6100,27268,OPTIMAL,50,0.0112548,0.267195,0.27845,59.21484,1409.0,129.0,0.0,1.0,4306550.0,18641.0,19241.0,330774.0,93.0,57716.0,55790.0,46.0,1778.0,0.0,8.0,1340.0,15112.0,8706.0,2095.0,,4337.0,6.0,43.0,4.0,5004.0,91836.0,
GEOM20a.col,20,37,24,960,2888,OPTIMAL,20,0.00115576,0.00243311,0.00358887,46.03125,4.0,2.0,0.0,,10777.0,101.0,109.0,931.0,,39.0,200.0,18.0,12.0,0.0,,2.0,,947.0,,,36.0,,,,,466.0,
GEOM100.col,100,547,64,12800,62008,OPTIMAL,50,0.0241802,0.323403,0.347584,67.77734,1497.0,99.0,0.0,6.0,5883280.0,24278.0,25136.0,416352.0,184.0,78718.0,72766.0,91.0,1834.0,0.0,8.0,1124.0,30518.0,25811.0,2244.0,,6032.0,8.0,,6.0,10016.0,101907.0,
GEOM110.col,110,638,64,14080,70532,OPTIMAL,50,0.0182868,0.405883,0.42417,69.73047,1258.0,120.0,0.0,25.0,5782520.0,22375.0,23054.0,373238.0,297.0,64060.0,105405.0,91.0,1672.0,0.0,8.0,922.0,33730.0,28522.0,4250.0,,5389.0,6.0,104.0,4.0,11036.0,90795.0,
c21_5_d2.col,21,105,8,336,1533,OPTIMAL,7,0.000592787,0.00334996,0.00394275,45.54688,2.0,56.0,0.0,,15439.0,419.0,445.0,2145.0,,60.0,513.0,3.0,104.0,0.0,,56.0,,278.0,,,80.0,,,,,383.0,
c21_8_d2.col,21,105,11,462,2121,OPTIMAL,9,0.000873371,0.00340336,0.00427674,45.54688,,12.0,0.0,,28398.0,421.0,446.0,4050.0,,189.0,572.0,4.0,59.0,0.0,,12.0,,513.0,,,102.0,,,,,484.0,
