name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,weakened,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,strengthened,minimized,vivified,fixed,reduced,chronological,rephased,stabilizing,eliminated,shrunken,walked,substituted
c21_6_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00404825,0.00461798,0.00866623,45.53125,6.0,,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,85.0,2.0,0.0,,220.0,,66.0,,,,860.0,,
GEOM90b.col,90,860,109,31910,234203,OPTIMAL,69,3.99187,62.7172,66.7091,131.28516,50024.0,509640.0,13986.0,0.0,867110.0,421823000.0,1664560.0,1689290.0,43222400.0,3689780.0,2021250.0,1.0,643067.0,625303.0,0.0,2930.0,522.0,871190.0,182381.0,111.0,23.0,159642.0,13156300.0,29.0,
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00322176,0.00406125,0.007283,45.59375,52.0,,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,5.0,0.0,,110.0,,173.0,,,,5033.0,,
GEOM50a.col,50,238,61,10796,59877,OPTIMAL,50,0.240076,0.417017,0.657093,69.11719,413.0,25753.0,496.0,0.0,5380.0,4261550.0,14550.0,14979.0,206714.0,13805.0,19588.0,4.0,5654.0,12094.0,0.0,,372.0,2006.0,2398.0,4.0,2.0,7730.0,50902.0,,
GEOM20a.col,20,37,24,1298,4828,OPTIMAL,20,0.00835547,0.00306168,0.0114172,45.28516,,,5.0,0.0,,20946.0,107.0,112.0,612.0,14.0,180.0,4.0,11.0,5.0,0.0,,183.0,,20.0,,,,130.0,,
GEOM100.col,100,547,64,22954,131337,OPTIMAL,50,0.707327,0.845682,1.55301,93.52734,509.0,57388.0,367.0,0.0,,7202320.0,17596.0,18015.0,251131.0,19109.0,26301.0,7.0,9391.0,29557.0,0.0,,482.0,2165.0,3108.0,5.0,3.0,17764.0,67552.0,,
GEOM110.col,110,638,64,25626,149778,OPTIMAL,50,0.811925,0.96147,1.7734,100.78516,409.0,64121.0,369.0,0.0,28711.0,7772310.0,19105.0,19508.0,284192.0,22626.0,31193.0,7.0,9163.0,28284.0,0.0,1.0,446.0,2239.0,3333.0,6.0,3.0,19839.0,70952.0,,13.0
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.00168857,0.00471614,0.00640472,45.78516,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,,
c21_8_d2.col,21,105,11,357,2082,OPTIMAL,9,0.00310366,0.00288343,0.00598709,45.53516,6.0,,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,85.0,2.0,0.0,,220.0,,66.0,,,,860.0,,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00154592,0.0359853,0.0375312,45.96484,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,,
GEOM70a.col,70,459,72,19927,125989,OPTIMAL,61,0.535628,4.7741,5.30973,91.56641,4371.0,100333.0,1641.0,0.0,125461.0,37298100.0,161776.0,164406.0,3278860.0,235329.0,193750.0,,79617.0,79827.0,0.0,283.0,530.0,59172.0,18239.0,23.0,7.0,31394.0,1170960.0,4.0,3.0
c21_4_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00407652,0.00452456,0.00860108,45.53906,6.0,,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,85.0,2.0,0.0,,220.0,,66.0,,,,860.0,,
GEOM110b.col,110,1256,121,44888,361181,OPTIMAL,77,6.87211,994.199,1001.07,192.65625,293555.0,704655.0,94715.0,0.0,1934320.0,4579870000.0,16827600.0,17046400.0,608816000.0,67304300.0,18812200.0,4.0,5457640.0,1387410.0,0.0,33754.0,1114.0,10539000.0,1548500.0,252.0,23.0,221968.0,178044000.0,76.0,
GEOM80a.col,80,612,79,24839,165307,OPTIMAL,63,0.963543,10.362,11.3255,101.59766,5243.0,193885.0,2567.0,0.0,140137.0,76482600.0,291346.0,295708.0,6569720.0,690711.0,349097.0,3.0,111190.0,181630.0,0.0,1083.0,660.0,139873.0,33126.0,31.0,8.0,60091.0,1666940.0,7.0,
GEOM30a.col,30,81,32,2887,12629,OPTIMAL,27,0.0289312,0.00546078,0.034392,45.66797,3.0,,2.0,0.0,,34476.0,103.0,105.0,825.0,30.0,263.0,5.0,10.0,2.0,0.0,,533.0,,34.0,,,,217.0,,
GEOM80b.col,80,663,98,23939,162836,OPTIMAL,60,2.55416,7.63403,10.1882,108.28906,5624.0,237655.0,2520.0,0.0,80686.0,64555600.0,174222.0,177884.0,3495200.0,252386.0,232891.0,2.0,82119.0,187372.0,0.0,536.0,526.0,57848.0,24915.0,29.0,11.0,75211.0,1010270.0,4.0,
GEOM50b.col,50,249,54,7649,40766,OPTIMAL,35,0.318594,0.155682,0.474276,63.70312,29.0,,55.0,0.0,,1746800.0,3699.0,3848.0,54086.0,5181.0,7391.0,2.0,350.0,55.0,0.0,,1283.0,181.0,1030.0,1.0,1.0,,6100.0,,
GEOM60a.col,60,339,61,13316,78805,OPTIMAL,50,0.318309,0.682603,1.00091,75.67188,469.0,33712.0,568.0,0.0,,7271620.0,20183.0,20762.0,289336.0,20121.0,27959.0,1.0,8295.0,17938.0,0.0,5.0,311.0,3193.0,3361.0,6.0,3.0,10249.0,68220.0,,7.0
GEOM70.col,70,267,44,11305,55335,OPTIMAL,38,0.13293,0.0530487,0.185979,63.5625,17.0,,17.0,0.0,,479445.0,1735.0,1789.0,17043.0,1032.0,3325.0,,375.0,16.0,0.0,,729.0,24.0,379.0,1.0,1.0,,4573.0,,
GEOM30b.col,30,81,27,2882,12320,OPTIMAL,26,0.0158779,0.00406556,0.0199435,45.29688,,,2.0,0.0,,10379.0,34.0,38.0,142.0,3.0,150.0,1.0,,2.0,0.0,,243.0,,19.0,,,,10.0,,
c21_3_d2.col,21,105,8,231,945,OPTIMAL,7,0.00108096,0.00401205,0.00509301,45.54688,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,,
c21_8_d1.col,21,105,11,357,2082,OPTIMAL,9,0.0040625,0.00474111,0.0088036,45.48828,6.0,,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,85.0,2.0,0.0,,220.0,,66.0,,,,860.0,,
c21_1_d2.col,21,105,8,231,945,OPTIMAL,7,0.00170117,0.00582052,0.00752169,45.55078,64.0,,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,518.0,8.0,0.0,,92.0,,144.0,,,,4514.0,,
GEOM40a.col,40,146,50,5946,28984,OPTIMAL,37,0.136922,0.0391341,0.176056,59.08203,38.0,,24.0,0.0,,413830.0,1570.0,1605.0,15545.0,948.0,2448.0,10.0,341.0,24.0,0.0,,977.0,,337.0,,,,3893.0,,
GEOM40b.col,40,157,40,5327,26310,OPTIMAL,33,0.0723063,0.0277421,0.100048,58.15625,2.0,,30.0,0.0,,294198.0,876.0,898.0,7794.0,404.0,1881.0,,125.0,28.0,0.0,,764.0,,228.0,,,,1658.0,,
c21_2_d1.col,21,105,11,357,2082,OPTIMAL,9,0.00414147,0.00458507,0.00872654,45.91406,6.0,,2.0,0.0,,25354.0,357.0,365.0,2505.0,98.0,407.0,2.0,85.0,2.0,0.0,,220.0,,66.0,,,,860.0,,
GEOM110a.col,110,1207,109,39551,315142,OPTIMAL,69,5.44486,175.467,180.912,162.69531,156354.0,745344.0,24211.0,0.0,2093510.0,1074190000.0,4366050.0,4443380.0,131184000.0,12425500.0,6099520.0,13.0,1444720.0,1147820.0,0.0,9516.0,673.0,2680210.0,616797.0,189.0,31.0,232810.0,41272800.0,53.0,
GEOM120a.col,120,1434,109,53365,438879,OPTIMAL,82,5.34933,745.171,750.521,233.35156,285997.0,823327.0,115165.0,0.0,2116110.0,2780900000.0,15807900.0,16018000.0,517692000.0,48708800.0,17645900.0,5.0,5373200.0,1362320.0,0.0,27738.0,1099.0,9611730.0,1584310.0,223.0,22.0,255576.0,127887000.0,66.0,1.0
c55_2_d2.col,55,362,8,605,2997,OPTIMAL,7,0.00522233,0.00446693,0.00968925,45.55078,52.0,,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,565.0,5.0,0.0,,110.0,,173.0,,,,5033.0,,
GEOM20.col,20,20,24,1136,3669,OPTIMAL,21,0.00777223,0.00258947,0.0103617,45.48828,,,2.0,0.0,,5454.0,30.0,33.0,138.0,4.0,157.0,3.0,3.0,2.0,0.0,,171.0,,10.0,,,,33.0,,
