name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,subsumed,minimized,vivified,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00253514,0.00604564,0.00858078,45.46484,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
GEOM90b.col,90,860,109,12240,82870,OPTIMAL,69,1.1003,24.0553,25.1556,116.24219,24907.0,1910.0,0.0,84.0,109528000.0,542976.0,552429.0,17061700.0,4222530.0,944141.0,14.0,47063.0,0.0,222.0,74428.0,115977.0,4216.0,303814.0,1081.0,86286.0,63.0,19.0,37048.0,4637680.0,14.0
c55_1_d1.col,55,362,8,660,3437,OPTIMAL,7,0.00313493,0.00346836,0.00660328,45.46875,85.0,79.0,0.0,,23690.0,589.0,635.0,3205.0,45.0,1020.0,,82.0,0.0,,76.0,,227.0,,,114.0,,,,483.0,
GEOM50a.col,50,238,61,4900,21412,OPTIMAL,50,0.0736114,0.312102,0.385714,58.46875,823.0,124.0,0.0,6.0,3028810.0,17000.0,17619.0,289599.0,50910.0,29661.0,4.0,1626.0,0.0,3.0,654.0,7398.0,902.0,1886.0,,3716.0,7.0,4.0,2451.0,75643.0,
GEOM20a.col,20,37,24,760,2203,OPTIMAL,20,0.00549203,0.00276701,0.00825904,45.53516,,0.0,0.0,,6764.0,64.0,73.0,604.0,53.0,118.0,4.0,8.0,0.0,,,,308.0,,,30.0,,,,319.0,
GEOM100.col,100,547,64,9800,46303,OPTIMAL,50,0.205898,0.378676,0.584573,68.24609,497.0,126.0,0.0,4.0,3229120.0,16590.0,17201.0,275546.0,50265.0,26972.0,7.0,1339.0,0.0,4.0,830.0,14954.0,1895.0,2052.0,,3774.0,6.0,4.0,4908.0,61433.0,
GEOM110.col,110,638,64,10780,52712,OPTIMAL,50,0.241701,0.628146,0.869847,69.91797,1378.0,144.0,0.0,10.0,5629760.0,24457.0,25295.0,393803.0,64373.0,48049.0,7.0,2029.0,0.0,8.0,1282.0,33391.0,2067.0,2982.0,,5927.0,8.0,5.0,10926.0,100606.0,
c21_5_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00122807,0.00227054,0.00349861,45.96484,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
c21_8_d2.col,21,105,11,336,1491,OPTIMAL,9,0.00252649,0.00623879,0.00876528,45.53906,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
c21_7_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00130597,0.00288164,0.00418761,45.53906,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
GEOM70a.col,70,459,72,8400,44270,OPTIMAL,61,0.150558,2.38437,2.53493,67.49609,5100.0,436.0,0.0,14.0,14582600.0,91872.0,94228.0,1952760.0,390253.0,167224.0,,7912.0,0.0,46.0,12417.0,25782.0,1303.0,34633.0,,17722.0,20.0,9.0,8482.0,497176.0,3.0
c21_4_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00176331,0.00413418,0.00589749,46.02734,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
GEOM110b.col,110,1256,121,16720,128786,OPTIMAL,77,1.92872,248.817,250.746,146.01172,149800.0,7395.0,0.0,342.0,600599000.0,2787910.0,2828480.0,113863000.0,27518400.0,4897200.0,13.0,302853.0,0.0,950.0,300547.0,184556.0,5603.0,2019830.0,1577.0,365633.0,137.0,26.0,59354.0,34753600.0,36.0
GEOM80a.col,80,612,79,9920,57704,OPTIMAL,63,0.286041,6.31007,6.59611,102.56641,12531.0,729.0,0.0,27.0,31560500.0,167037.0,170764.0,4016690.0,789076.0,319696.0,2.0,15680.0,0.0,65.0,15307.0,46134.0,1836.0,79358.0,486.0,29775.0,28.0,11.0,14664.0,1141560.0,4.0
GEOM30a.col,30,81,32,1560,5196,OPTIMAL,27,0.00960864,0.00461,0.0142186,45.84766,,4.0,0.0,,23774.0,195.0,210.0,2289.0,274.0,383.0,3.0,17.0,0.0,,4.0,,535.0,,,95.0,,,,473.0,
GEOM80b.col,80,663,98,9440,57917,OPTIMAL,60,0.724802,4.12271,4.84751,102.75781,5508.0,489.0,0.0,67.0,26632900.0,118208.0,121095.0,2952100.0,681592.0,214126.0,18.0,9935.0,0.0,48.0,11452.0,43693.0,3641.0,50990.0,480.0,22358.0,26.0,10.0,13940.0,775416.0,3.0
GEOM50b.col,50,249,54,3400,15216,OPTIMAL,35,0.0967836,0.100146,0.196929,57.17188,174.0,29.0,0.0,,893898.0,4811.0,5093.0,92070.0,12790.0,10405.0,11.0,431.0,0.0,,29.0,,1519.0,152.0,,1425.0,2.0,2.0,,20381.0,
GEOM60a.col,60,339,61,5880,28311,OPTIMAL,50,0.0953426,0.334572,0.429915,61.92188,678.0,118.0,0.0,3.0,3248970.0,17692.0,18286.0,300286.0,54443.0,29961.0,3.0,1692.0,0.0,3.0,655.0,9060.0,1053.0,2753.0,,4043.0,7.0,4.0,2956.0,74015.0,
GEOM70.col,70,267,44,5180,20169,OPTIMAL,38,0.0435874,0.0293556,0.072943,45.48438,35.0,9.0,0.0,,214123.0,1690.0,1791.0,23455.0,2730.0,2860.0,3.0,248.0,0.0,,9.0,,918.0,8.0,,466.0,1.0,1.0,,7135.0,
GEOM30b.col,30,81,27,1500,4995,OPTIMAL,26,0.00454408,0.00125072,0.0057948,45.48828,,5.0,0.0,,3885.0,36.0,45.0,239.0,1.0,46.0,2.0,6.0,0.0,,5.0,,306.0,,,7.0,,,,40.0,
c21_3_d2.col,21,105,8,252,1113,OPTIMAL,7,0.00141712,0.0036215,0.00503862,45.55078,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
c21_8_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00214586,0.00443398,0.00657984,45.48828,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
c21_1_d2.col,21,105,8,252,1113,OPTIMAL,7,0.000993632,0.00248723,0.00348087,45.55078,32.0,69.0,0.0,,15309.0,395.0,436.0,2121.0,45.0,613.0,1.0,45.0,0.0,,69.0,,174.0,,,64.0,,,,228.0,
GEOM40a.col,40,146,50,2880,10976,OPTIMAL,37,0.0427333,0.034921,0.0776543,45.05078,109.0,23.0,0.0,,298213.0,2110.0,2278.0,32648.0,3531.0,4064.0,5.0,226.0,0.0,,23.0,,883.0,14.0,,619.0,1.0,1.0,,9167.0,
GEOM40b.col,40,157,40,2560,10104,OPTIMAL,33,0.0300013,0.0199707,0.049972,45.97656,67.0,10.0,0.0,,167509.0,1024.0,1085.0,13266.0,1665.0,1990.0,3.0,142.0,0.0,,10.0,,722.0,,,295.0,,,,4065.0,
c21_2_d1.col,21,105,11,336,1491,OPTIMAL,9,0.00207586,0.00424988,0.00632574,45.55078,24.0,5.0,0.0,,30245.0,442.0,451.0,3859.0,198.0,602.0,1.0,98.0,0.0,,5.0,,269.0,,,64.0,,,,1170.0,
GEOM110a.col,110,1207,109,14960,111886,OPTIMAL,69,1.49839,169.483,170.981,143.44922,143855.0,9167.0,0.0,1547.0,650564000.0,3122650.0,3179490.0,108242000.0,25408600.0,5971530.0,15.0,175668.0,0.0,1502.0,278674.0,241845.0,5406.0,2284070.0,2223.0,527936.0,184.0,38.0,77595.0,23775200.0,49.0
GEOM120a.col,120,1434,109,19440,154914,OPTIMAL,82,1.33555,136.653,137.989,132.35938,94368.0,5474.0,0.0,143.0,305421000.0,1855120.0,1883520.0,59706700.0,12425100.0,3227750.0,4.0,208423.0,0.0,569.0,193116.0,183968.0,4026.0,1282900.0,1453.0,257145.0,106.0,24.0,59411.0,17759000.0,27.0
c55_2_d2.col,55,362,8,660,3437,OPTIMAL,7,0.00412398,0.00449725,0.00862124,45.98047,85.0,79.0,0.0,,23690.0,589.0,635.0,3205.0,45.0,1020.0,,82.0,0.0,,76.0,,227.0,,,114.0,,,,483.0,
GEOM20.col,20,20,24,800,1980,OPTIMAL,21,0.00282545,0.00141181,0.00423725,45.49219,,3.0,0.0,,6437.0,37.0,40.0,260.0,17.0,128.0,,2.0,0.0,,3.0,,245.0,,,15.0,,,,96.0,
