name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,subsumed,restarts,otfs,reuses,ternary,propagations,learned,conflicts,learned_lits,minishrunken,decisions,lucky,vivified,minimized,strengthened,weakened,fixed,reduced,substituted,chronological,rephased,stabilizing,eliminated,shrunken,walked
c21_6_d2.col,21,105,11,315,1914,OPTIMAL,9,0.00431335,0.00384489,0.00815824,45.89453,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM90b.col,90,860,109,15930,170283,OPTIMAL,69,3.19998,45.3612,48.5612,116.14453,437683.0,32152.0,12609.0,0.0,744198.0,313006000.0,1277930.0,1298260.0,33176700.0,3109760.0,1581900.0,7.0,1549.0,0.0,278202.0,147010.0,1000.0,683699.0,,147942.0,94.0,20.0,38849.0,9160490.0,24.0
c55_1_d1.col,55,362,8,605,2997,OPTIMAL,7,0.00334507,0.00399215,0.00733721,46.08203,565.0,52.0,5.0,0.0,,30993.0,852.0,859.0,9211.0,32.0,1115.0,,,0.0,5.0,,110.0,,,173.0,,,,5033.0,
GEOM50a.col,50,238,61,6250,41693,OPTIMAL,50,0.185059,0.389765,0.574824,64.55469,6171.0,361.0,429.0,0.0,1.0,4238750.0,15297.0,15776.0,216316.0,13572.0,23175.0,4.0,28.0,0.0,9204.0,15111.0,267.0,1894.0,,2565.0,4.0,2.0,3827.0,48135.0,
GEOM20a.col,20,37,24,873,3128,OPTIMAL,20,0.00690879,0.00215329,0.00906208,45.53125,10.0,,3.0,0.0,,9729.0,64.0,69.0,345.0,4.0,370.0,4.0,,0.0,3.0,,264.0,,,19.0,,,,51.0,
GEOM100.col,100,547,64,12500,89521,OPTIMAL,50,0.544231,0.671167,1.2154,80.28516,8701.0,381.0,313.0,0.0,2.0,5431530.0,17559.0,18011.0,263189.0,21358.0,36277.0,7.0,38.0,0.0,19898.0,28547.0,327.0,2012.0,2.0,2936.0,5.0,3.0,7529.0,64147.0,
GEOM110.col,110,638,64,13750,102274,OPTIMAL,50,0.617639,0.842382,1.46002,86.25781,9166.0,159.0,478.0,0.0,18671.0,5857780.0,20418.0,20953.0,318087.0,25153.0,38488.0,7.0,32.0,0.0,24248.0,31319.0,344.0,3650.0,,3731.0,7.0,3.0,8268.0,66010.0,
c21_5_d2.col,21,105,8,231,945,OPTIMAL,7,0.0017325,0.00580461,0.00753711,46.02344,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
c21_8_d2.col,21,105,11,315,1914,OPTIMAL,9,0.0042517,0.00431482,0.00856652,45.72266,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
c21_7_d2.col,21,105,8,231,945,OPTIMAL,7,0.00178016,0.00602986,0.00781002,45.59766,518.0,64.0,8.0,0.0,,30797.0,880.0,891.0,9335.0,123.0,1082.0,1.0,,0.0,8.0,,92.0,,,144.0,,,,4514.0,
GEOM70a.col,70,459,72,10780,89401,OPTIMAL,61,0.409401,4.28241,4.69181,82.81641,74134.0,4957.0,2131.0,0.0,119900.0,34140200.0,160960.0,163729.0,3130260.0,219122.0,201955.0,,117.0,0.0,62058.0,49006.0,582.0,50337.0,,19018.0,24.0,7.0,13010.0,1023540.0,4.0
c21_4_d1.col,21,105,11,315,1914,OPTIMAL,9,0.00420023,0.00386086,0.00806109,45.53906,100.0,,4.0,0.0,,19191.0,294.0,309.0,2142.0,77.0,382.0,2.0,,0.0,4.0,,145.0,,,56.0,,,,771.0,
GEOM110b.col,110,1256,121,22000,269629,OPTIMAL,77,5.58891,732.12,737.709,168.79297,4816440.0,344430.0,85995.0,0.0,1710170.0,3666930000.0,13359000.0,13553100.0,470342000.0,49478800.0,15291900.0,4.0,35568.0,0.0,727691.0,211204.0,1289.0,7950730.0,3.0,1353150.0,223.0,22.0,54371.0,140679000.0,68.0
GEOM80a.col,80,612,79,12640,116511,OPTIMAL,63,0.768201,7.45058,8.21878,88.65234,76145.0,4627.0,2373.0,0.0,159702.0,52944800.0,232534.0,236454.0,5545530.0,623900.0,285125.0,3.0,112.0,0.0,45527.0,28659.0,701.0,126417.0,,25476.0,22.0,5.0,7514.0,1449600.0,6.0
GEOM30a.col,30,81,32,1740,8041,OPTIMAL,27,0.019593,0.00410125,0.0236943,45.54297,12.0,,2.0,0.0,,26517.0,152.0,158.0,1406.0,121.0,467.0,5.0,,0.0,2.0,,108.0,,,48.0,,,,218.0,
GEOM80b.col,80,663,98,12160,115720,OPTIMAL,60,2.06106,6.68641,8.74747,91.39453,81874.0,6353.0,3068.0,0.0,147699.0,52771000.0,198853.0,202875.0,4093330.0,324535.0,266905.0,13.0,141.0,0.0,96148.0,56698.0,752.0,87040.0,3.0,26248.0,29.0,9.0,14619.0,1247320.0,6.0
