run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000074000,0.000073426
2,1,1,0.000018000,0.000017286
3,2,1,0.000017000,0.000016943
4,3,1,0.000018000,0.000017951
5,4,1,0.000017000,0.000016430
6,5,1,0.000017000,0.000017173
7,6,1,0.000016000,0.000015097
8,7,1,0.000016000,0.000015374
9,8,1,0.000016000,0.000015829
10,9,1,0.000013000,0.000012488
11,10,1,0.000016000,0.000015623
12,11,1,0.000015000,0.000015477
13,12,1,0.000014000,0.000014376
14,13,1,0.000015000,0.000015323
15,14,1,0.000014000,0.000014315
16,15,1,0.000015000,0.000014849
17,16,1,0.000016000,0.000015579
18,17,1,0.000015000,0.000015209
19,18,1,0.000014000,0.000013820
20,19,1,0.000014000,0.000013509
