run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.002267000,0.002266120
2,1,1,0.002061000,0.002060329
3,2,1,0.001847000,0.001846229
4,3,1,0.002180000,0.002180576
5,4,1,0.002004000,0.002003251
6,5,1,0.002699000,0.002698161
7,6,1,0.001929000,0.001928640
8,7,1,0.002061000,0.002060330
9,8,1,0.002061000,0.002060596
10,9,1,0.001761000,0.001760746
11,10,1,0.002061000,0.002061505
12,11,1,0.001843000,0.001842444
13,12,1,0.001837000,0.001836857
14,13,1,0.002209000,0.002208817
15,14,1,0.002245000,0.002244343
16,15,1,0.001826000,0.001825858
17,16,1,0.002122000,0.002121634
18,17,1,0.001781000,0.001780740
19,18,1,0.001951000,0.001951048
20,19,1,0.001810000,0.001809355
