run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.003216000,0.003213729
2,1,1,0.003170000,0.003169539
3,2,1,0.003368000,0.003368313
4,3,1,0.004010000,0.004009898
5,4,1,0.002999000,0.002998349
6,5,1,0.004916000,0.004915507
7,6,1,0.003467000,0.003466839
8,7,1,0.005604000,0.005603569
9,8,1,0.004228000,0.004231139
10,9,1,0.009801000,0.009800953
11,10,1,0.008487000,0.008485639
12,11,1,0.004027000,0.004026583
13,12,1,0.008234000,0.008232042
14,13,1,0.008287000,0.008285120
15,14,1,0.003681000,0.003680075
16,15,1,0.004376000,0.004424547
17,16,1,0.011223000,0.011221577
18,17,1,0.004266000,0.004264545
19,18,1,0.009622000,0.009621364
20,19,1,0.006899000,0.006898350
