run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000029000,0.000028156
2,1,1,0.000080000,0.000079040
3,2,1,0.000020000,0.000019261
4,3,1,0.000016000,0.000016586
5,4,1,0.000018000,0.000018059
6,5,1,0.000017000,0.000016497
7,6,1,0.000014000,0.000014383
8,7,1,0.000018000,0.000017573
9,8,1,0.000021000,0.000020999
10,9,1,0.000014000,0.000013290
11,10,1,0.000015000,0.000014141
12,11,1,0.000019000,0.000019147
13,12,1,0.000014000,0.000013890
14,13,1,0.000014000,0.000013528
15,14,1,0.000015000,0.000015065
16,15,1,0.000014000,0.000013836
17,16,1,0.000013000,0.000012826
18,17,1,0.000014000,0.000014419
19,18,1,0.000013000,0.000012706
20,19,1,0.000015000,0.000014578
