run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000435000,0.000433337
2,1,1,0.000413000,0.000412374
3,2,1,0.000425000,0.000424547
4,3,1,0.000412000,0.000411765
5,4,1,0.000446000,0.000445171
6,5,1,0.000402000,0.000401532
7,6,1,0.000531000,0.000529863
8,7,1,0.000423000,0.000422780
9,8,1,0.000411000,0.000411198
10,9,1,0.000397000,0.000395956
11,10,1,0.000435000,0.000434220
12,11,1,0.000404000,0.000403551
13,12,1,0.000385000,0.000385055
14,13,1,0.000474000,0.000473236
15,14,1,0.000392000,0.000391963
16,15,1,0.000460000,0.000459004
17,16,1,0.000441000,0.000440721
18,17,1,0.000424000,0.000423672
19,18,1,0.000413000,0.000412498
20,19,1,0.000424000,0.000423909
