run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000574000,0.000573678
2,1,1,0.000553000,0.000552435
3,2,1,0.000811000,0.000810286
4,3,1,0.000447000,0.000446954
5,4,1,0.001076000,0.001075258
6,5,1,0.000872000,0.000871619
7,6,1,0.001032000,0.001030783
8,7,1,0.000515000,0.000514371
9,8,1,0.000897000,0.000897545
10,9,1,0.000670000,0.000669898
11,10,1,0.000800000,0.000799389
12,11,1,0.000609000,0.000608707
13,12,1,0.001116000,0.001115864
14,13,1,0.000481000,0.000481141
15,14,1,0.000797000,0.000796781
16,15,1,0.000767000,0.000766845
17,16,1,0.000540000,0.000539024
18,17,1,0.001765000,0.001765048
19,18,1,0.002223000,0.002222581
20,19,1,0.001572000,0.001572112
