run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000037000,0.000036139
2,1,1,0.000021000,0.000020283
3,2,1,0.000022000,0.000021673
4,3,1,0.000020000,0.000019580
5,4,1,0.000021000,0.000020006
6,5,1,0.000021000,0.000020883
7,6,1,0.000020000,0.000019958
8,7,1,0.000082000,0.000081764
9,8,1,0.000019000,0.000018475
10,9,1,0.000022000,0.000021591
11,10,1,0.000018000,0.000018279
12,11,1,0.000022000,0.000022104
13,12,1,0.000045000,0.000043978
14,13,1,0.000023000,0.000022530
15,14,1,0.000021000,0.000021049
16,15,1,0.000022000,0.000021713
17,16,1,0.000019000,0.000018028
18,17,1,0.000018000,0.000017812
19,18,1,0.000021000,0.000021499
20,19,1,0.000018000,0.000017761
