run,seed,success,cpu_seconds,wall_seconds
1,0,0,70.414062000,70.416152523
2,1,0,70.676167000,70.678272617
3,2,0,70.370435000,70.373032228
4,3,0,70.763272000,70.765128558
5,4,0,70.474028000,70.476023640
6,5,0,70.589548000,70.592490898
7,6,0,70.573379000,70.575137151
8,7,0,70.629576000,70.631930670
9,8,0,70.506073000,70.508812113
10,9,0,70.731516000,70.733501448
11,10,0,70.664113000,70.666379343
12,11,0,70.486795000,70.488690462
13,12,0,70.278153000,70.280380856
14,13,0,70.435674000,70.437833958
15,14,0,70.529655000,70.531729388
16,15,0,70.379887000,70.382440314
17,16,0,70.460128000,70.462031348
18,17,0,70.544241000,70.546100026
19,18,0,70.483121000,70.484990692
20,19,0,70.385764000,70.387820789
