run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001023000,0.001022449
2,1,1,0.000958000,0.000956953
3,2,1,0.001090000,0.001089436
4,3,1,0.002132000,0.002131658
5,4,1,0.001285000,0.001284713
6,5,1,0.001465000,0.001464459
7,6,1,0.001177000,0.001176640
8,7,1,0.000897000,0.000897331
9,8,1,0.001725000,0.001724896
10,9,1,0.001385000,0.001385087
11,10,1,0.000935000,0.000935248
12,11,1,0.001154000,0.001153638
13,12,1,0.001205000,0.001204807
14,13,1,0.000855000,0.000854577
15,14,1,0.001043000,0.001042458
16,15,1,0.001255000,0.001254683
17,16,1,0.000810000,0.000809627
18,17,1,0.000863000,0.000862892
19,18,1,0.000970000,0.000969752
20,19,1,0.001311000,0.001310121
