run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001825000,0.001823491
2,1,1,0.001796000,0.001795912
3,2,1,0.001608000,0.001607116
4,3,1,0.002212000,0.002211613
5,4,1,0.001962000,0.001962273
6,5,1,0.002093000,0.002093201
7,6,1,0.004312000,0.004311932
8,7,1,0.001270000,0.001269300
9,8,1,0.002611000,0.002609983
10,9,1,0.001771000,0.001771354
11,10,1,0.001357000,0.001356129
12,11,1,0.003157000,0.003157234
13,12,1,0.001625000,0.001625105
14,13,1,0.002068000,0.002068253
15,14,1,0.002932000,0.002931419
16,15,1,0.001592000,0.001592166
17,16,1,0.002742000,0.002741249
18,17,1,0.002026000,0.002025008
19,18,1,0.003647000,0.003646679
20,19,1,0.003043000,0.003042208
