run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000126000,0.000124947
2,1,1,0.000107000,0.000106845
3,2,1,0.000089000,0.000089453
4,3,1,0.000089000,0.000088374
5,4,1,0.000070000,0.000070301
6,5,1,0.000111000,0.000110806
7,6,1,0.000087000,0.000086736
8,7,1,0.000078000,0.000077892
9,8,1,0.000113000,0.000112470
10,9,1,0.000085000,0.000085106
11,10,1,0.000101000,0.000100754
12,11,1,0.000077000,0.000076517
13,12,1,0.000072000,0.000071993
14,13,1,0.000090000,0.000090428
15,14,1,0.000084000,0.000084053
16,15,1,0.000120000,0.000120455
17,16,1,0.000150000,0.000149394
18,17,1,0.000118000,0.000118439
19,18,1,0.000102000,0.000101576
20,19,1,0.000090000,0.000089725
