run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001457000,0.001455946
2,1,1,0.001578000,0.001578163
3,2,1,0.001393000,0.001393399
4,3,1,0.001321000,0.001320689
5,4,1,0.001395000,0.001394811
6,5,1,0.001334000,0.001333854
7,6,1,0.001419000,0.001418842
8,7,1,0.001281000,0.001280683
9,8,1,0.001410000,0.001409506
10,9,1,0.001497000,0.001495781
11,10,1,0.001402000,0.001401956
12,11,1,0.001375000,0.001374722
13,12,1,0.001569000,0.001567671
14,13,1,0.001339000,0.001338987
15,14,1,0.001319000,0.001318228
16,15,1,0.001456000,0.001455500
17,16,1,0.001324000,0.001323180
18,17,1,0.001255000,0.001254975
19,18,1,0.001390000,0.001390329
20,19,1,0.001338000,0.001337532
