run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001458000,0.001456643
2,1,1,0.001498000,0.001497895
3,2,1,0.001565000,0.001564821
4,3,1,0.001429000,0.001428517
5,4,1,0.001287000,0.001286143
6,5,1,0.001349000,0.001349123
7,6,1,0.001419000,0.001418412
8,7,1,0.001696000,0.001694850
9,8,1,0.001381000,0.001381324
10,9,1,0.001433000,0.001432405
11,10,1,0.001393000,0.001392926
12,11,1,0.001355000,0.001354470
13,12,1,0.001405000,0.001404270
14,13,1,0.001341000,0.001341020
15,14,1,0.001312000,0.001311555
16,15,1,0.001382000,0.001381923
17,16,1,0.001370000,0.001369640
18,17,1,0.001313000,0.001312629
19,18,1,0.001374000,0.001373908
20,19,1,0.001600000,0.001598323
