run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000034000,0.000033030
2,1,1,0.000017000,0.000017162
3,2,1,0.000015000,0.000014633
4,3,1,0.000016000,0.000015051
5,4,1,0.000019000,0.000018958
6,5,1,0.000016000,0.000016286
7,6,1,0.000021000,0.000020634
8,7,1,0.000017000,0.000016542
9,8,1,0.000015000,0.000014678
10,9,1,0.000016000,0.000016109
11,10,1,0.000020000,0.000019485
12,11,1,0.000015000,0.000014608
13,12,1,0.000014000,0.000013300
14,13,1,0.000015000,0.000014377
15,14,1,0.000017000,0.000017141
16,15,1,0.000018000,0.000017630
17,16,1,0.000016000,0.000016015
18,17,1,0.000016000,0.000014978
19,18,1,0.000014000,0.000013616
20,19,1,0.000014000,0.000013991
