run,seed,success,cpu_seconds,wall_seconds
1,0,0,63.318918000,63.320336071
2,1,0,63.273750000,63.275155329
3,2,0,63.265054000,63.266382043
4,3,0,62.953086000,62.954875336
5,4,0,62.992136000,62.993430396
6,5,0,63.027160000,63.028623132
7,6,0,62.893307000,62.894285113
8,7,0,62.849056000,62.851312413
9,8,0,63.109232000,63.111644297
10,9,0,62.925665000,62.928077647
11,10,0,63.143372000,63.145771376
12,11,0,63.015827000,63.018550083
13,12,0,62.781122000,62.782925496
14,13,0,63.024294000,63.025704146
15,14,0,62.838450000,62.840026355
16,15,0,62.869712000,62.870982286
17,16,0,62.979958000,62.982034217
18,17,0,63.011156000,63.016080164
19,18,0,63.111449000,63.112952312
20,19,0,62.747184000,62.748727464
