run,seed,success,cpu_seconds,wall_seconds
1,0,0,46.692524000,46.694251578
2,1,0,46.679439000,46.680623808
3,2,0,46.634863000,46.636415380
4,3,0,46.575353000,46.577110785
5,4,0,46.631333000,46.632860736
6,5,0,46.559151000,46.560012068
7,6,0,46.624981000,46.626623692
8,7,0,46.699250000,46.700850670
9,8,0,46.673233000,46.674718304
10,9,0,46.651032000,46.652282759
11,10,0,46.666652000,46.668279128
12,11,0,46.711997000,46.713964770
13,12,0,46.642679000,46.644280694
14,13,0,46.654544000,46.655460439
15,14,0,46.706001000,46.707529859
16,15,0,46.700803000,46.702261376
17,16,0,46.647531000,46.648953500
18,17,0,46.758034000,46.758962035
19,18,0,46.674415000,46.675993645
20,19,0,46.655742000,46.657274770
