run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000294000,0.000292786
2,1,1,0.000279000,0.000279190
3,2,1,0.000283000,0.000282765
4,3,1,0.000276000,0.000275542
5,4,1,0.000266000,0.000265509
6,5,1,0.000273000,0.000272618
7,6,1,0.000295000,0.000294499
8,7,1,0.000295000,0.000294855
9,8,1,0.000293000,0.000292721
10,9,1,0.000345000,0.000344788
11,10,1,0.000277000,0.000276094
12,11,1,0.000282000,0.000282287
13,12,1,0.000275000,0.000274194
14,13,1,0.000268000,0.000268209
15,14,1,0.000299000,0.000298958
16,15,1,0.000320000,0.000320228
17,16,1,0.000283000,0.000283170
18,17,1,0.000299000,0.000298934
19,18,1,0.000276000,0.000276033
20,19,1,0.000272000,0.000272015
