run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000456000,0.000455201
2,1,1,0.000438000,0.000437251
3,2,1,0.000407000,0.000406224
4,3,1,0.000347000,0.000347216
5,4,1,0.000555000,0.000554529
6,5,1,0.000394000,0.000393874
7,6,1,0.000359000,0.000359021
8,7,1,0.000386000,0.000386172
9,8,1,0.000569000,0.000569585
10,9,1,0.000582000,0.000582761
11,10,1,0.000473000,0.000473229
12,11,1,0.000468000,0.000467240
13,12,1,0.000331000,0.000330875
14,13,1,0.000603000,0.000602344
15,14,1,0.000384000,0.000384297
16,15,1,0.000375000,0.000374852
17,16,1,0.000433000,0.000432136
18,17,1,0.000502000,0.000500685
19,18,1,0.000449000,0.000448685
20,19,1,0.000703000,0.000701865
