run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001041000,0.001039670
2,1,1,0.000968000,0.000967179
3,2,1,0.000897000,0.000896522
4,3,1,0.000828000,0.000828397
5,4,1,0.000877000,0.000876779
6,5,1,0.000907000,0.000907458
7,6,1,0.000856000,0.000855911
8,7,1,0.000876000,0.000876335
9,8,1,0.001232000,0.001231021
10,9,1,0.000998000,0.000997559
11,10,1,0.000952000,0.000951607
12,11,1,0.000978000,0.000977671
13,12,1,0.000974000,0.000974251
14,13,1,0.000881000,0.000880386
15,14,1,0.000921000,0.000921363
16,15,1,0.000847000,0.000846448
17,16,1,0.000869000,0.000868593
18,17,1,0.001106000,0.001105466
19,18,1,0.000953000,0.000952236
20,19,1,0.000882000,0.000881285
