run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000917000,0.000916433
2,1,1,0.000834000,0.000834086
3,2,1,0.000867000,0.000866563
4,3,1,0.000955000,0.000954693
5,4,1,0.000855000,0.000854702
6,5,1,0.000846000,0.000845424
7,6,1,0.000839000,0.000838317
8,7,1,0.000834000,0.000833692
9,8,1,0.000932000,0.000931715
10,9,1,0.000892000,0.000891317
11,10,1,0.000942000,0.000942052
12,11,1,0.000837000,0.000836139
13,12,1,0.000945000,0.000944428
14,13,1,0.000977000,0.000976475
15,14,1,0.001022000,0.001022560
16,15,1,0.001076000,0.001075201
17,16,1,0.000946000,0.000946060
18,17,1,0.000887000,0.000886721
19,18,1,0.000851000,0.000851379
20,19,1,0.000854000,0.000854348
