run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000993000,0.000991921
2,1,1,0.000978000,0.000977862
3,2,1,0.000841000,0.000840393
4,3,1,0.000844000,0.000843182
5,4,1,0.000905000,0.000905594
6,5,1,0.000881000,0.000880099
7,6,1,0.001034000,0.001033140
8,7,1,0.000886000,0.000886021
9,8,1,0.000877000,0.000876740
10,9,1,0.000882000,0.000882139
11,10,1,0.000918000,0.000916741
12,11,1,0.000878000,0.000878055
13,12,1,0.001015000,0.000991969
14,13,1,0.000893000,0.000892359
15,14,1,0.000833000,0.000832858
16,15,1,0.000840000,0.000840268
17,16,1,0.000864000,0.000864224
18,17,1,0.000938000,0.000937964
19,18,1,0.000841000,0.000841397
20,19,1,0.000886000,0.000884838
