run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000999000,0.000997611
2,1,1,0.000930000,0.000929199
3,2,1,0.000878000,0.000877873
4,3,1,0.000975000,0.000974612
5,4,1,0.000980000,0.000979583
6,5,1,0.000957000,0.000956974
7,6,1,0.000887000,0.000886680
8,7,1,0.000921000,0.000921282
9,8,1,0.000968000,0.000967758
10,9,1,0.000884000,0.000883518
11,10,1,0.000852000,0.000851464
12,11,1,0.000853000,0.000852747
13,12,1,0.000863000,0.000863480
14,13,1,0.000988000,0.000988136
15,14,1,0.000875000,0.000874332
16,15,1,0.000873000,0.000872827
17,16,1,0.000946000,0.000946101
18,17,1,0.000955000,0.000954646
19,18,1,0.000883000,0.000882852
20,19,1,0.000826000,0.000825391
