run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000936000,0.000934328
2,1,1,0.000866000,0.000865351
3,2,1,0.000840000,0.000839713
4,3,1,0.000844000,0.000843430
5,4,1,0.000854000,0.000854245
6,5,1,0.000949000,0.000948555
7,6,1,0.000915000,0.000915499
8,7,1,0.000904000,0.000903387
9,8,1,0.000812000,0.000812198
10,9,1,0.000938000,0.000936731
11,10,1,0.000868000,0.000867033
12,11,1,0.001135000,0.001134415
13,12,1,0.000913000,0.000912161
14,13,1,0.001029000,0.001028080
15,14,1,0.000965000,0.000965011
16,15,1,0.001087000,0.001086247
17,16,1,0.000847000,0.000846211
18,17,1,0.000875000,0.000874049
19,18,1,0.000792000,0.000792018
20,19,1,0.000838000,0.000837921
