run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.001012000,0.001010642
2,1,1,0.000896000,0.000894665
3,2,1,0.000845000,0.000844466
4,3,1,0.000949000,0.000948580
5,4,1,0.000847000,0.000846473
6,5,1,0.000881000,0.000881420
7,6,1,0.000820000,0.000820108
8,7,1,0.000848000,0.000846950
9,8,1,0.000880000,0.000879903
10,9,1,0.000840000,0.000839354
11,10,1,0.000831000,0.000830618
12,11,1,0.000962000,0.000961193
13,12,1,0.000887000,0.000886563
14,13,1,0.000789000,0.000788998
15,14,1,0.000869000,0.000869143
16,15,1,0.000825000,0.000824184
17,16,1,0.000891000,0.000897750
18,17,1,0.000830000,0.000830249
19,18,1,0.001021000,0.001020861
20,19,1,0.000877000,0.000876691
