run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.007953000,0.007950932
2,1,1,0.007926000,0.007925238
3,2,1,0.020517000,0.020516688
4,3,1,0.012800000,0.012800157
5,4,1,0.025825000,0.025832564
6,5,1,0.004464000,0.004463090
7,6,1,0.002598000,0.002598069
8,7,1,0.032409000,0.032414337
9,8,1,0.022000000,0.021999619
10,9,1,0.034740000,0.034738786
11,10,1,0.046022000,0.046020801
12,11,1,0.005368000,0.005367597
13,12,1,0.026555000,0.026554687
14,13,1,0.007652000,0.007651453
15,14,1,0.007606000,0.007605875
16,15,1,0.029224000,0.029223415
17,16,1,0.091873000,0.091872203
18,17,1,0.010812000,0.010811869
19,18,1,0.005279000,0.005278165
20,19,1,0.014033000,0.014032028
