run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000040000,0.000039790
2,1,1,0.000020000,0.000019097
3,2,1,0.000022000,0.000021032
4,3,1,0.000020000,0.000019381
5,4,1,0.000021000,0.000020550
6,5,1,0.000022000,0.000021829
7,6,1,0.000021000,0.000020302
8,7,1,0.000021000,0.000020978
9,8,1,0.000019000,0.000018576
10,9,1,0.000021000,0.000021272
11,10,1,0.000018000,0.000018184
12,11,1,0.000023000,0.000022718
13,12,1,0.000053000,0.000052697
14,13,1,0.000028000,0.000027432
15,14,1,0.000028000,0.000027663
16,15,1,0.000031000,0.000030410
17,16,1,0.000026000,0.000025514
18,17,1,0.000024000,0.000023251
19,18,1,0.000022000,0.000020887
20,19,1,0.000018000,0.000017522
