run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000316000,0.000314998
2,1,1,0.000312000,0.000311696
3,2,1,0.000326000,0.000324962
4,3,1,0.000410000,0.000409551
5,4,1,0.000288000,0.000287099
6,5,1,0.000339000,0.000338877
7,6,1,0.000355000,0.000353892
8,7,1,0.000442000,0.000441590
9,8,1,0.000386000,0.000385637
10,9,1,0.000342000,0.000342183
11,10,1,0.000291000,0.000291690
12,11,1,0.000304000,0.000304145
13,12,1,0.000309000,0.000308107
14,13,1,0.000299000,0.000298251
15,14,1,0.000303000,0.000302862
16,15,1,0.000305000,0.000305234
17,16,1,0.000328000,0.000327880
18,17,1,0.000324000,0.000324635
19,18,1,0.000309000,0.000309351
20,19,1,0.000346000,0.000345889
