run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000121000,0.000120237
2,1,1,0.000104000,0.000103171
3,2,1,0.000096000,0.000096427
4,3,1,0.000107000,0.000107390
5,4,1,0.000096000,0.000096471
6,5,1,0.000098000,0.000098042
7,6,1,0.000105000,0.000104857
8,7,1,0.000098000,0.000097735
9,8,1,0.000113000,0.000112739
10,9,1,0.000106000,0.000105789
11,10,1,0.000096000,0.000095533
12,11,1,0.000102000,0.000101427
13,12,1,0.000118000,0.000118363
14,13,1,0.000096000,0.000095188
15,14,1,0.000103000,0.000103042
16,15,1,0.000099000,0.000099028
17,16,1,0.000089000,0.000089720
18,17,1,0.000106000,0.000105702
19,18,1,0.000096000,0.000096615
20,19,1,0.000094000,0.000093755
