run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000081000,0.000080591
2,1,1,0.000065000,0.000065660
3,2,1,0.000075000,0.000074577
4,3,1,0.000059000,0.000058767
5,4,1,0.000067000,0.000066733
6,5,1,0.000060000,0.000059730
7,6,1,0.000068000,0.000067379
8,7,1,0.000068000,0.000067624
9,8,1,0.000073000,0.000072803
10,9,1,0.000068000,0.000067610
11,10,1,0.000072000,0.000072596
12,11,1,0.000070000,0.000069843
13,12,1,0.000062000,0.000061743
14,13,1,0.000065000,0.000064761
15,14,1,0.000060000,0.000060649
16,15,1,0.000062000,0.000062196
17,16,1,0.000069000,0.000068735
18,17,1,0.000064000,0.000063517
19,18,1,0.000063000,0.000062257
20,19,1,0.000066000,0.000066063
