run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000040000,0.000038574
2,1,1,0.000020000,0.000019473
3,2,1,0.000021000,0.000021475
4,3,1,0.000020000,0.000019881
5,4,1,0.000021000,0.000020749
6,5,1,0.000022000,0.000021840
7,6,1,0.000020000,0.000020241
8,7,1,0.000020000,0.000020484
9,8,1,0.000018000,0.000017730
10,9,1,0.000021000,0.000021575
11,10,1,0.000018000,0.000018329
12,11,1,0.000020000,0.000019971
13,12,1,0.000019000,0.000018975
14,13,1,0.000020000,0.000020476
15,14,1,0.000046000,0.000045705
16,15,1,0.000023000,0.000022724
17,16,1,0.000037000,0.000037208
18,17,1,0.000020000,0.000019721
19,18,1,0.000025000,0.000025305
20,19,1,0.000019000,0.000019311
