name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM100.col,100,547,65,13000,63056,OPTIMAL,50,0.0171122,0.389481,0.406593,74.63281,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,91be09009a797c20a68cfb43f78cb01019c2cfdb8915d86e640e95938c315b19,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:21:22.182202+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM100a.col,100,992,92,18400,130665,OPTIMAL,66,0.042681,304.539,304.581,163.83984,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,630c8dde843161518427f8d7ef92d9d1373781a7e028e2918c0070a86261b0f7,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100a.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:26:26.879147+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM100b.col,100,1050,122,24400,182001,OPTIMAL,71,0.049748,61.5633,61.613,131.13672,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,14092a37b220ef17894222b959c735f68203286fc653930904fe5f13c3741ce5,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM100b.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:27:28.559191+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM110.col,110,638,65,14300,71721,OPTIMAL,50,0.0210832,0.422582,0.443665,76.82422,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,2c127a146238aee20765edfcc35a16dc2fd856e5577bfe6afdc859b7dcaddb49,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:27:29.088579+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM110a.col,110,1207,110,24200,185681,OPTIMAL,69,0.0511388,137.14,137.191,142.72266,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,9c37e408d641c20a1fc834cdfa27c50a49e532300506da93442ee8f07c8f7d3c,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110a.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:29:46.354151+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM110b.col,110,1256,122,26840,211863,OPTIMAL,77,0.0608387,245.62,245.681,150.69531,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,aea172a16bc42de0504b35909d35fce000ded1613c496d28ea719a2d44ba7c51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM110b.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:33:52.075565+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM120.col,120,773,74,17760,94523,OPTIMAL,59,0.0282299,1.43,1.45823,84.46094,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,26357a9d4e2d8b08cdf055e2a882589f86c22c313fd9674a7f44b405c2aade4a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:33:53.617370+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM120a.col,120,1434,110,26400,213901,OPTIMAL,82,0.0628495,110.445,110.508,131.58984,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,a920a2c75d8d4fde3a531cb30857d83f245364a0b88d5a18f86336b96bf07ab6,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120a.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T06:35:44.190365+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM120b.col,120,1491,124,29760,249325,OPTIMAL,83,0.0694551,2851.35,2851.42,295.37891,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,745355ab3817a87504580de4d77629dce60b8f48ea8fb2c5da33224e8ef92e29,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM120b.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:15.759389+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM20.col,20,20,25,1000,2581,OPTIMAL,21,0.0008133,0.00162495,0.00243825,50.61328,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,08ed5ea76ef3bcb2228f4669162b3aa8c234de6a4dd75c3155a603919bc0167a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:15.829958+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM20a.col,20,37,25,1000,3026,OPTIMAL,20,0.000789826,0.00214768,0.00293751,51.11328,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,5fe086947cbc99c9630087a727d0c9fe00065a9c4f6d6ebea7115ab4a8c161fb,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20a.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:15.917665+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM20b.col,20,32,17,680,1985,OPTIMAL,13,0.00055293,0.000840845,0.00139377,51.11328,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,6be144806384554ada26f70be526ed0d42afb61a447cd96f826be5dbcf60288a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20b.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:16.020758+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM30.col,30,50,34,2040,5961,OPTIMAL,28,0.00150571,0.00388882,0.00539453,51.23828,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,489bd893683e4c3672aba625abb2643d68f9c2a6d3776c9b26400831c548bd51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:16.131920+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM30a.col,30,81,33,1980,6814,OPTIMAL,27,0.00171755,0.00426805,0.0059856,51.17578,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,10bfa32a02f1c8633027611fc7eb773d3d5088d3bc49d1419471fc4ca266eca9,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30a.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:16.236706+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
GEOM30b.col,30,81,28,1680,5689,OPTIMAL,26,0.00146598,0.00128066,0.00274663,49.30078,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,41e7babfc1e85334f1653ee7e88e11a11b0065ce2d50a72a801b4b00cfe2330a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30b.col 2G -t 3600 -i -v y --use-symmetry-breaking,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-15T07:23:16.340549+07:00,CaDiCaL,0,2G,3600,True,y,True,False,
