name,V,E,upper_bound,variables,clauses,status,span,encoding_time,total_solving_time,time_used,memory_usage,timed_out,optimality_proven,run_id,source_sha,source_dirty,input_sha256,binary_sha256,command,host,platform,compiler,runner_versions,concurrency,recorded_at,solver,solver_seed,method,time_limit,incremental,incremental_variable,symmetry_breaking,pairwise,width
GEOM20b.col,20,32,17,680,1984,OPTIMAL,13,0.000535715,0.000759646,0.00129536,50.58594,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,6be144806384554ada26f70be526ed0d42afb61a447cd96f826be5dbcf60288a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM20b.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:45.946562+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM30.col,30,50,34,2040,5960,OPTIMAL,28,0.00158335,0.00385959,0.00544294,51.02344,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,489bd893683e4c3672aba625abb2643d68f9c2a6d3776c9b26400831c548bd51,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.056806+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM30a.col,30,81,33,1980,6813,OPTIMAL,27,0.00165091,0.00374464,0.00539554,51.02344,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,10bfa32a02f1c8633027611fc7eb773d3d5088d3bc49d1419471fc4ca266eca9,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30a.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.163888+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM30b.col,30,81,28,1680,5688,OPTIMAL,26,0.00144052,0.00120597,0.00264649,50.89844,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,41e7babfc1e85334f1653ee7e88e11a11b0065ce2d50a72a801b4b00cfe2330a,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM30b.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.266245+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM40.col,40,78,34,2720,8332,OPTIMAL,28,0.00222976,0.00401268,0.00624244,50.89844,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,4968db2efd363df2b56fdfbab3c914f8100884884a68f0b07cbbc4e20aa1f192,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM40.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.377460+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM40a.col,40,146,51,4080,16166,OPTIMAL,37,0.00393519,0.0210001,0.0249353,50.83594,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,0bd50dc07b7e234154a3f92e5d2cf1ac6ad83c47badf984a837587fe7c35ca6b,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM40a.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.503534+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM40b.col,40,157,41,3280,13317,OPTIMAL,33,0.00333363,0.0181456,0.0214792,51.02344,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,1ccb98f8f5e910eb9d4064ba5b23dff42c9067ecd2d40d0879250dbd16181ddf,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM40b.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.605937+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM50.col,50,127,37,3700,12549,OPTIMAL,28,0.00319102,0.00479825,0.00798926,51.02344,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,c584455fa3b51a54152148534733fdf90022ccefd515c1770417925f43ef5434,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM50.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:46.697870+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM50a.col,50,238,62,6200,27756,OPTIMAL,50,0.00709399,0.231167,0.238261,67.16797,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,09a35a2b65ed3e0dcd221ac73c5adb47901d19e134e9d9ce99d087c064f5b13b,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM50a.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:47.033911+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
GEOM50b.col,50,249,55,5500,25695,OPTIMAL,35,0.00634305,0.132642,0.138985,64.39062,0,1,1,509f41020245d12b4e03b0c6681826c72245d1f3,False,7b21131c086e1fd406658aed26e1d79b31aa8f81bf25493c8658813e81076dca,bc9dd2f34387090f83611022ed1b92c2e8cc6181b37baadbb75314f73aa6341c,/home/homulily/code/bcp-cpp/bcp /home/homulily/code/bcp-cpp/dataset/GEOM50b.col 2G -t 3600 -i -v x,DESKTOP-RJQ30EQ,Linux-6.8.0-51-generic-x86_64-with-glibc2.39,c++ (Ubuntu 15.2.0-16ubuntu1) 15.2.0,Python 3.14.4; pandas 2.3.3; psutil 7.2.2,1,2026-08-14T21:30:47.241136+07:00,CaDiCaL,0,2G,3600,True,x,False,False,
