name,V,E,upper_bound,method,cache,width,incremental,symmetry,pairwise,variables,clauses,solver,status,span,encoding_time,total_solving_time,time_used,memory_usage
GEOM100.col,100,547,64,2G,,,,True,False,9800,46304.0,Cadical,OPTIMAL,50,0.618265,0.502695,1.12096,66.71094
GEOM100a.col,100,992,91,2G,,,,True,False,13000,90381.0,Cadical,OPTIMAL,66,2.24679,214.458,216.705,135.77734
GEOM100b.col,100,1050,121,2G,,,,True,False,14000,101401.0,Cadical,OPTIMAL,71,5.63117,81.3999,87.0311,117.875
GEOM110.col,110,638,64,2G,,,,True,False,10780,52713.0,Cadical,OPTIMAL,50,0.727755,0.600211,1.32797,70.73828
GEOM110a.col,110,1207,109,2G,,,,True,False,14960,111887.0,Cadical,OPTIMAL,69,4.63086,240.041,244.672,155.66797
GEOM110b.col,110,1256,121,2G,,,,True,False,16720,128787.0,Cadical,OPTIMAL,77,6.05992,172.505,178.565,140.9375
GEOM120.col,120,773,73,2G,,,,True,False,13920,72555.0,Cadical,OPTIMAL,59,0.993954,1.7936,2.78755,77.55469
GEOM120a.col,120,1434,109,2G,,,,True,False,19440,154915.0,Cadical,OPTIMAL,82,4.06064,101.644,105.705,131.95312
GEOM120b.col,120,1491,123,2G,,,,True,False,19680,161503.0,Cadical,OPTIMAL,83,6.69513,2161.44,2168.13,280.85156
GEOM20.col,20,20,24,2G,,,,True,False,800,1981.0,Cadical,OPTIMAL,21,0.010359,0.00119699,0.011556,45.44531
GEOM20a.col,20,37,24,2G,,,,True,False,760,2204.0,Cadical,OPTIMAL,20,0.0113858,0.00157128,0.0129571,45.44531
GEOM20b.col,20,32,16,2G,,,,True,False,480,1325.0,Cadical,OPTIMAL,13,0.00686827,0.000705205,0.00757348,45.56641
GEOM30.col,30,50,33,2G,,,,True,False,1620,4561.0,Cadical,OPTIMAL,28,0.0231111,0.00283505,0.0259462,45.92969
GEOM30a.col,30,81,32,2G,,,,True,False,1560,5197.0,Cadical,OPTIMAL,27,0.0335383,0.00377211,0.0373104,45.69531
GEOM30b.col,30,81,27,2G,,,,True,False,1500,4996.0,Cadical,OPTIMAL,26,0.0104678,0.0011604,0.0116282,44.63672
GEOM40.col,40,78,33,2G,,,,True,False,2160,6387.0,Cadical,OPTIMAL,28,0.0393143,0.00507466,0.044389,45.44141
GEOM40a.col,40,146,50,2G,,,,True,False,2880,10977.0,Cadical,OPTIMAL,37,0.131549,0.0455202,0.177069,55.56641
GEOM40b.col,40,157,40,2G,,,,True,False,2560,10105.0,Cadical,OPTIMAL,33,0.0688319,0.0147227,0.0835546,45.80859
GEOM50.col,50,127,36,2G,,,,True,False,2700,8780.0,Cadical,OPTIMAL,28,0.0719528,0.00674033,0.0786931,45.44531
GEOM50a.col,50,238,61,2G,,,,True,False,4900,21413.0,Cadical,OPTIMAL,50,0.219389,0.265609,0.484998,59.66016
GEOM50b.col,50,249,54,2G,,,,True,False,3400,15217.0,Cadical,OPTIMAL,35,0.279487,0.0914523,0.370939,57.39844
GEOM60.col,60,185,36,2G,,,,True,False,3840,13541.0,Cadical,OPTIMAL,33,0.058009,0.00672539,0.0647344,46.05859
GEOM60a.col,60,339,61,2G,,,,True,False,5880,28312.0,Cadical,OPTIMAL,50,0.289074,0.327581,0.616655,61.82031
GEOM60b.col,60,366,63,2G,,,,True,False,4800,24181.0,Cadical,OPTIMAL,41,0.557948,1.25449,1.81244,61.66016
GEOM70.col,70,267,44,2G,,,,True,False,5180,20170.0,Cadical,OPTIMAL,38,0.129601,0.0294713,0.159072,57.60938
GEOM70a.col,70,459,72,2G,,,,True,False,8400,44271.0,Cadical,OPTIMAL,61,0.460838,2.14198,2.60281,70.02344
GEOM70b.col,70,488,76,2G,,,,True,False,6440,35259.0,Cadical,OPTIMAL,47,1.05622,1.82781,2.88403,65.68359
GEOM80.col,80,349,54,2G,,,,True,False,6400,26681.0,Cadical,OPTIMAL,41,0.331736,0.049326,0.381062,58.89453
GEOM80a.col,80,612,79,2G,,,,True,False,9920,57705.0,Cadical,OPTIMAL,63,0.868212,2.65602,3.52423,103.85938
GEOM80b.col,80,663,98,2G,,,,True,False,9440,57918.0,Cadical,OPTIMAL,60,2.2704,4.80266,7.07307,102.71484
GEOM90.col,90,441,54,2G,,,,True,False,8100,35956.0,Cadical,OPTIMAL,46,0.286066,0.0828107,0.368877,61.41016
GEOM90a.col,90,789,80,2G,,,,True,False,11160,71149.0,Cadical,OPTIMAL,63,1.15542,6.81932,7.97474,107.76172
GEOM90b.col,90,860,109,2G,,,,True,False,12240,82871.0,Cadical,OPTIMAL,69,3.50526,43.964,47.4693,116.48438
c21_1_d1.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00359495,0.001687,0.00528195,45.80859
c21_1_d2.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00304274,0.00122736,0.0042701,45.44531
c21_2_d1.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00477392,0.00239103,0.00716495,45.80859
c21_2_d2.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00654146,0.00337796,0.00991942,45.56641
c21_3_d1.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.0033051,0.00161122,0.00491632,45.50391
c21_3_d2.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00276167,0.00129154,0.00405321,45.44531
c21_4_d1.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00609518,0.00351343,0.00960861,45.44531
c21_4_d2.col,21,105,11,2G,,,,True,False,336,1492.0,Cadical,OPTIMAL,9,0.00630858,0.00356882,0.00987741,45.99219
c21_5_d1.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00336779,0.00153591,0.0049037,45.93359
c21_5_d2.col,21,105,8,2G,,,,True,False,252,1114.0,Cadical,OPTIMAL,7,0.00331223,0.00164654,0.00495877,45.38281
