run,seed,success,cpu_seconds,wall_seconds
1,0,0,46.511682000,46.512649392
2,1,0,46.577117000,46.578651834
3,2,0,46.547290000,46.549269448
4,3,0,46.333475000,46.337784769
5,4,0,46.401342000,46.402655677
6,5,0,46.358959000,46.360619069
7,6,0,46.493221000,46.494692843
8,7,0,46.383492000,46.385254420
9,8,0,46.433666000,46.434755870
10,9,0,46.503884000,46.505571086
11,10,0,46.537601000,46.539126628
12,11,0,46.454028000,46.455760138
13,12,0,46.373598000,46.374593707
14,13,0,46.392634000,46.394132447
15,14,0,46.381475000,46.383012064
16,15,0,46.518736000,46.520158554
17,16,0,46.362538000,46.363701463
18,17,0,46.455174000,46.456855234
19,18,0,46.302790000,46.304307281
20,19,0,46.284192000,46.285769611
