run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.000201000,0.000200242
2,1,1,0.000188000,0.000187332
3,2,1,0.000195000,0.000194676
4,3,1,0.000203000,0.000203265
5,4,1,0.000182000,0.000181500
6,5,1,0.000194000,0.000194014
7,6,1,0.000179000,0.000179291
8,7,1,0.000159000,0.000158504
9,8,1,0.000164000,0.000164099
10,9,1,0.000177000,0.000176083
11,10,1,0.000165000,0.000165350
12,11,1,0.000178000,0.000178278
13,12,1,0.000224000,0.000223466
14,13,1,0.000180000,0.000179843
15,14,1,0.000208000,0.000208239
16,15,1,0.000176000,0.000175694
17,16,1,0.000187000,0.000186903
18,17,1,0.000181000,0.000181687
19,18,1,0.000185000,0.000184987
20,19,1,0.000185000,0.000184060
