run,seed,success,cpu_seconds,wall_seconds
1,0,0,198.746112000,198.753249472
2,1,0,201.267789000,201.277663038
3,2,0,187.700402000,187.707851125
4,3,0,188.446552000,188.462992338
5,4,0,192.971406000,192.980111129
6,5,0,192.435224000,192.442742377
7,6,0,189.287741000,189.294729438
8,7,0,193.237986000,193.245149301
9,8,0,192.445066000,192.452288171
10,9,0,192.098910000,192.105615813
11,10,0,194.068208000,194.075704893
12,11,0,193.490962000,193.498010047
13,12,0,191.052227000,191.059422493
14,13,0,162.161388000,162.170405053
15,14,0,164.286257000,164.291183456
16,15,0,160.655292000,160.659869225
17,16,0,162.461065000,162.464422219
18,17,0,163.027768000,163.032616440
19,18,0,163.100451000,163.104935618
