run,seed,success,cpu_seconds,wall_seconds
1,0,1,0.009674000,0.009671953
2,1,1,0.009780000,0.009779078
3,2,1,0.004910000,0.004908891
4,3,1,0.035546000,0.035545391
5,4,1,0.107934000,0.107932791
6,5,1,0.040466000,0.040465065
7,6,1,0.057375000,0.057374730
8,7,1,0.045728000,0.045727423
9,8,1,0.005580000,0.005578927
10,9,1,0.025977000,0.025976069
11,10,1,0.212176000,0.212173754
12,11,1,0.020738000,0.020737893
13,12,1,0.024106000,0.024105673
14,13,1,0.030957000,0.030956548
15,14,1,0.045745000,0.045744247
16,15,1,0.021298000,0.021296757
17,16,1,0.039305000,0.039304035
18,17,1,0.023881000,0.023881067
19,18,1,0.026087000,0.026086012
20,19,1,0.024359000,0.024358819
